,Feature,Duplication,Classification,Duplicate.2,Ka,Ks,Ka.Ks,P.Value
1,Brara.A00002,wgd,teM,Brara.F03921,0.0133946,0.131502,0.101859,7.44011e-11
2,Brara.A00006,wgd,Unmethylated,Brara.F03915,0.0473875,0.434082,0.109167,8.36242e-19
3,Brara.A00008,wgd,Unmethylated,Brara.H01862,0.0700688,0.371817,0.188449,3.61363e-27
4,Brara.A00012,wgd,Unmethylated,Brara.I04666,0.37896,3.66905,0.103286,3.10545e-23
5,Brara.A00013,wgd,Unmethylated,Brara.D01248,0.268973,1.2911,0.208328,7.83084e-22
6,Brara.A00015,wgd,Unmethylated,Brara.F03899,0.365368,1.78961,0.20416,6.71633e-07
7,Brara.A00016,wgd,Unmethylated,Brara.F03898,0.0178416,0.19073,0.0935435,5.8501e-06
8,Brara.A00019,wgd,Unmethylated,Brara.D01255,0.185865,1.94406,0.0956065,1.32612e-31
9,Brara.A00020,wgd,Unmethylated,Brara.D01259,0.174788,1.1384,0.153538,4.71892e-59
10,Brara.A00021,wgd,Unmethylated,Brara.H01833,0.00560411,0.260545,0.0215092,2.24778e-35
11,Brara.A00022,wgd,Unmethylated,Brara.F03886,0.0957786,0.414023,0.231337,5.40517e-20
12,Brara.A00024,wgd,Unmethylated,Brara.I04649,0.267572,1.99314,0.134246,9.08833e-58
13,Brara.A00025,wgd,Unmethylated,Brara.H01827,0.0624059,0.515505,0.121058,1.49283e-19
14,Brara.A00026,wgd,Unmethylated,Brara.H01826,0.0185566,0.288757,0.0642637,1.1175e-54
15,Brara.A00027,wgd,Unmethylated,Brara.H01824,0.0435105,0.61373,0.0708952,6.31428e-41
16,Brara.A00028,wgd,Unmethylated,Brara.H01822,0.0717672,0.254697,0.281775,0.000179831
17,Brara.A00029,wgd,Unmethylated,Brara.F03880,0.0248095,0.234538,0.10578,7.00223e-42
18,Brara.A00030,wgd,Unclassified,Brara.I04638,0.203861,1.00258,0.203337,4.84147e-27
19,Brara.A00031,wgd,Unmethylated,Brara.H01813,0.00388955,0.362996,0.0107151,6.21587e-13
20,Brara.A00032,wgd,Unmethylated,Brara.D01277,0.191057,0.617976,0.309165,9.0781e-05
