Duplicate.1,Duplicate.1_Methylation,Duplicate.2,Duplicate.2_Methylation,Duplication,Similarity,Classification
Potri.001G015066,unM,Potri.001G227600,unM,wgd,Same,unM-unM
Potri.001G061100,unM,Potri.001G325200,unM,wgd,Same,unM-unM
Potri.001G060700,unM,Potri.001G325600,unM,wgd,Same,unM-unM
Potri.001G060600,unM,Potri.001G325800,unM,wgd,Same,unM-unM
Potri.001G060500,unM,Potri.001G326200,unM,wgd,Same,unM-unM
Potri.001G057900,unM,Potri.001G328700,unM,wgd,Same,unM-unM
Potri.001G425500,unM,Potri.001G432300,unM,wgd,Same,unM-unM
Potri.001G422900,unM,Potri.001G432333,unM,wgd,Same,unM-unM
Potri.001G427000,unM,Potri.001G432800,unM,wgd,Same,unM-unM
Potri.001G427500,unM,Potri.001G433700,unM,wgd,Same,unM-unM
Potri.001G425300,unM,Potri.001G433700,unM,wgd,Same,unM-unM
Potri.001G428800,unM,Potri.001G434600,unM,wgd,Same,unM-unM
Potri.001G431100,unM,Potri.001G437300,unM,wgd,Same,unM-unM
Potri.001G425300,unM,Potri.001G443400,unM,wgd,Same,unM-unM
Potri.001G426500,unM,Potri.001G444701,unM,wgd,Same,unM-unM
Potri.001G427000,unM,Potri.001G445300,unM,wgd,Same,unM-unM
Potri.001G428200,unM,Potri.001G445800,unM,wgd,Same,unM-unM
Potri.001G294300,unM,Potri.002G119200,unM,wgd,Same,unM-unM
Potri.001G296600,unM,Potri.002G120100,unM,wgd,Same,unM-unM
Potri.001G298000,unM,Potri.002G120900,unM,wgd,Same,unM-unM
Potri.001G100000,unM,Potri.002G162400,unM,wgd,Same,unM-unM
Potri.001G099900,gbM,Potri.002G162500,gbM,wgd,Same,gbM-gbM
Potri.001G099400,unM,Potri.002G163700,unM,wgd,Same,unM-unM
Potri.001G098100,unM,Potri.002G165100,unM,wgd,Same,unM-unM
Potri.001G095300,unM,Potri.002G167200,unM,wgd,Same,unM-unM
Potri.001G087200,unM,Potri.002G173700,unM,wgd,Same,unM-unM
Potri.001G083700,unM,Potri.002G176300,unM,wgd,Same,unM-unM
Potri.002G215100,unM,Potri.002G220200,unM,wgd,Same,unM-unM
Potri.002G214500,unM,Potri.002G220666,unM,wgd,Same,unM-unM
Potri.003G015500,unM,Potri.003G017200,unM,wgd,Same,unM-unM
Potri.003G016800,unM,Potri.003G018000,unM,wgd,Same,unM-unM
Potri.001G211900,unM,Potri.003G018700,unM,wgd,Same,unM-unM
Potri.001G211300,gbM,Potri.003G019000,gbM,wgd,Same,gbM-gbM
Potri.001G210800,unM,Potri.003G019400,unM,wgd,Same,unM-unM
Potri.001G210500,gbM,Potri.003G019600,gbM,wgd,Same,gbM-gbM
Potri.001G210400,unM,Potri.003G020100,unM,wgd,Same,unM-unM
Potri.001G210100,unM,Potri.003G020200,unM,wgd,Same,unM-unM
Potri.001G210000,unM,Potri.003G020400,unM,wgd,Same,unM-unM
Potri.001G209800,unM,Potri.003G020500,unM,wgd,Same,unM-unM
Potri.001G209600,unM,Potri.003G020700,unM,wgd,Same,unM-unM
Potri.001G209500,Unclassified,Potri.003G020800,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Potri.001G209100,Unclassified,Potri.003G021500,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Potri.001G208800,gbM,Potri.003G021800,gbM,wgd,Same,gbM-gbM
Potri.001G208200,Unclassified,Potri.003G021901,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Potri.001G207700,gbM,Potri.003G022100,gbM,wgd,Same,gbM-gbM
Potri.001G207600,unM,Potri.003G022400,unM,wgd,Same,unM-unM
Potri.001G206900,unM,Potri.003G022800,unM,wgd,Same,unM-unM
Potri.001G206800,unM,Potri.003G022900,unM,wgd,Same,unM-unM
Potri.001G206700,gbM,Potri.003G023000,gbM,wgd,Same,gbM-gbM
Potri.001G206600,gbM,Potri.003G023300,gbM,wgd,Same,gbM-gbM
Potri.001G205700,Unclassified,Potri.003G023700,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Potri.001G205400,Unclassified,Potri.003G024000,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Potri.001G205100,unM,Potri.003G024100,unM,wgd,Same,unM-unM
Potri.003G013900,Unclassified,Potri.003G025000,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Potri.001G386700,unM,Potri.003G026500,unM,wgd,Same,unM-unM
