Duplicate.1,Duplicate.2,Duplicate.1_Methylation,Duplicate.2_Methylation,Duplication,Similarity,Classification,Ka,Ks,Ka.Ks,P.Value
Pahal.1G002900,Pahal.4G354300,unM,unM,wgd,Same,unM-unM,0.293664,3.20752,0.091555,1.84949e-28
Pahal.1G003000,Pahal.4G355100,unM,unM,wgd,Same,unM-unM,0.326851,3.98987,0.0819204,4.29793e-53
Pahal.1G004100,Pahal.4G356200,gbM,gbM,wgd,Same,gbM-gbM,0.270261,1.04771,0.257953,4.66048e-67
Pahal.1G006300,Pahal.4G358500,unM,unM,wgd,Same,unM-unM,0.275331,1.32882,0.2072,8.90667e-20
Pahal.1G006900,Pahal.4G359400,gbM,gbM,wgd,Same,gbM-gbM,0.495923,1.90021,0.260983,3.47615e-49
Pahal.1G028200,Pahal.4G020900,unM,unM,wgd,Same,unM-unM,0.17453,3.62864,0.0480979,4.30351e-69
Pahal.1G029100,Pahal.4G021700,gbM,gbM,wgd,Same,gbM-gbM,0.221545,1.43022,0.154904,1.97521e-22
Pahal.1G030000,Pahal.4G022200,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.122562,0.982067,0.1248,3.056e-67
Pahal.1G030400,Pahal.4G022400,unM,unM,wgd,Same,unM-unM,0.26004,1.87142,0.138953,1.26524e-51
Pahal.1G030700,Pahal.4G022600,unM,unM,wgd,Same,unM-unM,0.210513,2.83011,0.0743834,0
Pahal.1G031100,Pahal.4G022900,Unclassified,Unclassified,wgd,Undetermined,Unclassified-Unclassified,0.104924,0.764745,0.137201,7.94807e-20
Pahal.1G032200,Pahal.4G023400,unM,unM,wgd,Same,unM-unM,0.263859,2.28301,0.115575,7.08812e-20
Pahal.1G032300,Pahal.4G023500,gbM,gbM,wgd,Same,gbM-gbM,0.151522,0.978469,0.154856,4.76037e-98
Pahal.1G032400,Pahal.4G023700,gbM,gbM,wgd,Same,gbM-gbM,0.115446,0.719076,0.160547,1.36438e-80
Pahal.1G032700,Pahal.4G024300,gbM,gbM,wgd,Same,gbM-gbM,0.263972,0.911172,0.289706,1.82918e-41
Pahal.1G032900,Pahal.4G024500,unM,unM,wgd,Same,unM-unM,0.125822,3.01424,0.0417426,0
Pahal.1G033300,Pahal.4G025200,gbM,gbM,wgd,Same,gbM-gbM,0.00926811,1.02386,0.00905214,4.18833e-91
Pahal.1G034500,Pahal.4G026200,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.270234,1.47548,0.183151,5.57545e-32
Pahal.1G034700,Pahal.4G026600,gbM,gbM,wgd,Same,gbM-gbM,0.030102,1.58955,0.0189375,6.66226e-83
Pahal.1G035500,Pahal.4G027600,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.163532,1.79423,0.0911436,1.1633e-83
Pahal.1G035800,Pahal.4G028300,unM,unM,wgd,Same,unM-unM,0.430192,3.36219,0.12795,0
Pahal.1G036100,Pahal.4G029900,unM,unM,wgd,Same,unM-unM,0.526178,2.31881,0.226918,2.12134e-18
Pahal.1G036300,Pahal.4G030000,gbM,gbM,wgd,Same,gbM-gbM,0.36948,1.62843,0.226893,6.7715e-24
Pahal.1G036600,Pahal.4G032400,gbM,gbM,wgd,Same,gbM-gbM,0.105897,0.970408,0.109126,4.1337e-34
Pahal.1G037800,Pahal.4G033200,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.186705,1.07595,0.173527,2.27387e-43
Pahal.1G038700,Pahal.4G033400,gbM,unM,wgd,Different,gbM-unM,0.319841,1.67567,0.190873,1.70179e-39
Pahal.1G040500,Pahal.4G035400,gbM,gbM,wgd,Same,gbM-gbM,0.019307,4.68759,0.00411874,1.69692e-83
Pahal.1G042100,Pahal.4G036100,gbM,gbM,wgd,Same,gbM-gbM,0.0223102,0.740495,0.0301288,6.5584e-94
Pahal.1G042700,Pahal.4G036400,unM,unM,wgd,Same,unM-unM,0.163997,1.74525,0.0939678,5.61439e-23
Pahal.1G043300,Pahal.4G036800,gbM,gbM,wgd,Same,gbM-gbM,0.418433,1.1182,0.374202,2.23952e-16
Pahal.1G043400,Pahal.4G036900,unM,unM,wgd,Same,unM-unM,0.218359,4.78447,0.0456392,3.32458e-10
Pahal.1G044800,Pahal.4G039900,unM,unM,wgd,Same,unM-unM,0.238948,1.74285,0.137102,2.12129e-10
Pahal.1G045300,Pahal.4G041400,unM,unM,wgd,Same,unM-unM,0.20379,3.45002,0.0590691,1.76363e-41
Pahal.1G045400,Pahal.4G041600,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.00992255,2.77755,0.00357242,1.61951e-113
Pahal.1G045900,Pahal.4G041800,unM,unM,wgd,Same,unM-unM,0.34456,1.49994,0.229716,1.43283e-07
