,Duplicate.1,Duplicate.1_Methylation,Duplicate.2,Duplicate.2_Methylation,Duplication,Similarity,Classification
1,AT1G13640,Unclassified,AT1G26270,Unclassified,wgd,Undetermined,Unclassified-Unclassified
2,AT1G13830,Unmethylated,AT1G26450,Unmethylated,wgd,Same,Unmethylated-Unmethylated
3,AT1G13880,Unclassified,AT1G26580,Unmethylated,wgd,Undetermined,NA
4,AT1G13940,Unclassified,AT1G26620,gbM,wgd,Undetermined,gbM-Unclassified
5,AT1G13950,Unmethylated,AT1G26630,Unmethylated,wgd,Same,Unmethylated-Unmethylated
6,AT1G14010,Unclassified,AT1G26690,Unclassified,wgd,Undetermined,Unclassified-Unclassified
7,AT1G14040,Unmethylated,AT1G26730,Unmethylated,wgd,Same,Unmethylated-Unmethylated
8,AT1G14200,Unmethylated,AT1G26800,Unmethylated,wgd,Same,Unmethylated-Unmethylated
9,AT1G14210,Unclassified,AT1G26820,Unmethylated,wgd,Undetermined,NA
10,AT1G14320,Unmethylated,AT1G26910,Unmethylated,wgd,Same,Unmethylated-Unmethylated
11,AT1G14330,Unmethylated,AT1G26930,Unmethylated,wgd,Same,Unmethylated-Unmethylated
12,AT1G14370,Unclassified,AT1G26970,Unmethylated,wgd,Undetermined,NA
13,AT1G14610,gbM,AT1G27160,Unmethylated,wgd,Different,NA
14,AT1G08730,Unclassified,AT1G54560,gbM,wgd,Undetermined,gbM-Unclassified
15,AT1G08880,Unmethylated,AT1G54690,Unmethylated,wgd,Same,Unmethylated-Unmethylated
16,AT1G08890,Unmethylated,AT1G54730,Unmethylated,wgd,Same,Unmethylated-Unmethylated
17,AT1G08970,gbM,AT1G54830,Unclassified,wgd,Undetermined,gbM-Unclassified
18,AT1G08990,Unmethylated,AT1G54940,Unmethylated,wgd,Same,Unmethylated-Unmethylated
19,AT1G09000,Unmethylated,AT1G54960,Unclassified,wgd,Undetermined,NA
20,AT1G09040,Unclassified,AT1G55050,Unclassified,wgd,Undetermined,Unclassified-Unclassified
21,AT1G09155,Unmethylated,AT1G56240,Unmethylated,wgd,Same,Unmethylated-Unmethylated
22,AT1G09180,Unmethylated,AT1G56330,Unmethylated,wgd,Same,Unmethylated-Unmethylated
23,AT1G09210,Unmethylated,AT1G56340,Unclassified,wgd,Undetermined,NA
24,AT1G09240,Unmethylated,AT1G56430,Unmethylated,wgd,Same,Unmethylated-Unmethylated
25,AT1G09310,Unclassified,AT1G56580,Unmethylated,wgd,Undetermined,NA
26,AT1G09350,Unmethylated,AT1G56600,Unmethylated,wgd,Same,Unmethylated-Unmethylated
27,AT1G09360,Unmethylated,AT1G56620,Unmethylated,wgd,Same,Unmethylated-Unmethylated
28,AT1G09390,Unmethylated,AT1G56670,Unmethylated,wgd,Same,Unmethylated-Unmethylated
29,AT1G09410,Unclassified,AT1G56690,Unclassified,wgd,Undetermined,Unclassified-Unclassified
30,AT1G09440,Unclassified,AT1G56720,Unclassified,wgd,Undetermined,Unclassified-Unclassified
31,AT1G09540,Unmethylated,AT1G57560,Unmethylated,wgd,Same,Unmethylated-Unmethylated
32,AT1G09575,Unmethylated,AT1G57610,Unmethylated,wgd,Same,Unmethylated-Unmethylated
33,AT1G09580,Unmethylated,AT1G57620,Unclassified,wgd,Undetermined,NA
34,AT1G09590,Unmethylated,AT1G57660,Unmethylated,wgd,Same,Unmethylated-Unmethylated
35,AT1G09600,Unclassified,AT1G57700,gbM,wgd,Undetermined,gbM-Unclassified
36,AT1G09640,Unmethylated,AT1G57720,Unclassified,wgd,Undetermined,NA
37,AT1G09645,Unmethylated,AT1G57765,Unclassified,wgd,Undetermined,NA
38,AT1G09665,Unmethylated,AT1G57830,Unmethylated,wgd,Same,Unmethylated-Unmethylated
39,AT1G09690,Unmethylated,AT1G57860,Unmethylated,wgd,Same,Unmethylated-Unmethylated
40,AT1G09795,Unmethylated,AT1G58080,Unclassified,wgd,Undetermined,NA
41,AT1G09935,Unmethylated,AT1G58280,Unclassified,wgd,Undetermined,NA
42,AT1G09940,Unclassified,AT1G58290,Unclassified,wgd,Undetermined,Unclassified-Unclassified
43,AT1G09950,Unmethylated,AT1G58330,Unmethylated,wgd,Same,Unmethylated-Unmethylated
44,AT1G09980,gbM,AT1G58350,gbM,wgd,Same,gbM-gbM
45,AT1G10010,Unmethylated,AT1G58360,Unclassified,wgd,Undetermined,NA
46,AT1G10050,gbM,AT1G58370,Unmethylated,wgd,Different,NA
47,AT1G10090,Unclassified,AT1G58520,gbM,wgd,Undetermined,gbM-Unclassified
48,AT1G10150,Unmethylated,AT1G59510,Unclassified,wgd,Undetermined,NA
49,AT1G10210,Unclassified,AT1G59580,gbM,wgd,Undetermined,gbM-Unclassified
50,AT1G10220,Unmethylated,AT1G59590,Unmethylated,wgd,Same,Unmethylated-Unmethylated
51,AT1G10290,gbM,AT1G59610,gbM,wgd,Same,gbM-gbM
52,AT1G10350,Unmethylated,AT1G59725,Unmethylated,wgd,Same,Unmethylated-Unmethylated
53,AT1G10430,Unmethylated,AT1G59830,Unmethylated,wgd,Same,Unmethylated-Unmethylated
54,AT1G24190,gbM,AT1G59890,gbM,wgd,Same,gbM-gbM
55,AT1G10450,gbM,AT1G59890,gbM,wgd,Same,gbM-gbM
56,AT1G24180,Unmethylated,AT1G59900,Unmethylated,wgd,Same,Unmethylated-Unmethylated
57,AT1G24150,Unmethylated,AT1G59910,Unclassified,wgd,Undetermined,NA
58,AT1G10470,Unmethylated,AT1G59940,Unmethylated,wgd,Same,Unmethylated-Unmethylated
59,AT1G24140,Unmethylated,AT1G59970,Unmethylated,wgd,Same,Unmethylated-Unmethylated
60,AT1G24120,gbM,AT1G59980,Unclassified,wgd,Undetermined,gbM-Unclassified
61,AT1G10530,Unmethylated,AT1G60010,Unmethylated,wgd,Same,Unmethylated-Unmethylated
62,AT1G10540,Unmethylated,AT1G60030,Unclassified,wgd,Undetermined,NA
63,AT1G23900,gbM,AT1G60070,gbM,wgd,Same,gbM-gbM
64,AT1G23870,gbM,AT1G60140,gbM,wgd,Same,gbM-gbM
65,AT1G10560,Unmethylated,AT1G60190,Unmethylated,wgd,Same,Unmethylated-Unmethylated
66,AT1G10570,Unclassified,AT1G60220,Unclassified,wgd,Undetermined,Unclassified-Unclassified
67,AT1G23760,Unmethylated,AT1G60390,Unmethylated,wgd,Same,Unmethylated-Unmethylated
68,AT1G10640,Unmethylated,AT1G60590,Unmethylated,wgd,Same,Unmethylated-Unmethylated
69,AT1G10650,Unmethylated,AT1G60610,Unmethylated,wgd,Same,Unmethylated-Unmethylated
70,AT1G10850,Unclassified,AT1G60630,Unmethylated,wgd,Undetermined,NA
71,AT1G10820,gbM,AT1G60670,Unclassified,wgd,Undetermined,gbM-Unclassified
72,AT1G10810,gbM,AT1G60680,Unclassified,wgd,Undetermined,gbM-Unclassified
73,AT1G10770,Unmethylated,AT1G60760,Unmethylated,wgd,Same,Unmethylated-Unmethylated
74,AT1G10730,Unclassified,AT1G60780,gbM,wgd,Undetermined,gbM-Unclassified
75,AT1G10690,Unmethylated,AT1G60783,Unmethylated,wgd,Same,Unmethylated-Unmethylated
76,AT1G10670,Unmethylated,AT1G60810,Unclassified,wgd,Undetermined,NA
77,AT1G10870,gbM,AT1G60860,gbM,wgd,Same,gbM-gbM
78,AT1G10900,gbM,AT1G60890,Unclassified,wgd,Undetermined,gbM-Unclassified
79,AT1G10930,gbM,AT1G60930,Unclassified,wgd,Undetermined,gbM-Unclassified
80,AT1G10940,Unclassified,AT1G60940,Unmethylated,wgd,Undetermined,NA
81,AT1G10960,Unmethylated,AT1G60950,Unmethylated,wgd,Same,Unmethylated-Unmethylated
82,AT1G10970,gbM,AT1G60960,Unmethylated,wgd,Different,NA
83,AT1G11060,gbM,AT1G61030,gbM,wgd,Same,gbM-gbM
84,AT1G11070,Unmethylated,AT1G61080,Unmethylated,wgd,Same,Unmethylated-Unmethylated
85,AT1G11080,Unmethylated,AT1G61130,Unmethylated,wgd,Same,Unmethylated-Unmethylated
86,AT1G11100,Unclassified,AT1G61140,gbM,wgd,Undetermined,gbM-Unclassified
87,AT1G11125,Unmethylated,AT1G61170,Unmethylated,wgd,Same,Unmethylated-Unmethylated
88,AT1G11160,gbM,AT1G61210,gbM,wgd,Same,gbM-gbM
89,AT1G11170,Unmethylated,AT1G61240,gbM,wgd,Different,NA
90,AT1G11180,Unmethylated,AT1G61250,gbM,wgd,Different,NA
91,AT1G11210,Unmethylated,AT1G61260,Unmethylated,wgd,Same,Unmethylated-Unmethylated
92,AT1G11250,Unmethylated,AT1G61290,Unmethylated,wgd,Same,Unmethylated-Unmethylated
93,AT1G11280,Unmethylated,AT1G61360,gbM,wgd,Different,NA
94,AT1G11310,Unclassified,AT1G61560,Unmethylated,wgd,Undetermined,NA
95,AT1G11410,gbM,AT1G61610,Unclassified,wgd,Undetermined,gbM-Unclassified
96,AT1G11475,Unmethylated,AT1G61700,Unclassified,wgd,Undetermined,NA
97,AT1G11510,Unmethylated,AT1G61730,Unmethylated,wgd,Same,Unmethylated-Unmethylated
98,AT1G11540,Unmethylated,AT1G61740,Unmethylated,wgd,Same,Unmethylated-Unmethylated
99,AT1G11560,Unmethylated,AT1G61790,Unmethylated,wgd,Same,Unmethylated-Unmethylated
100,AT1G11630,Unmethylated,AT1G61870,Unclassified,wgd,Undetermined,NA
101,AT1G11670,Unmethylated,AT1G61890,Unmethylated,wgd,Same,Unmethylated-Unmethylated
