Duplicate.1,Duplicate.2,Duplicate.1_Methylation,Duplicate.2_Methylation,Duplication,Similarity,Classification,Ka,Ks,Ka.Ks,P.Value
MELO3C000047.2,MELO3C008554.2,unM,unM,wgd,Same,unM-unM,0.231352,1.17453,0.196975,2.5169e-21
MELO3C000084.2,MELO3C029958.2,teM,Unclassified,wgd,Undetermined,teM-Unclassified,0.018049,0.0333167,0.54174,0.379032
MELO3C000086.2,MELO3C027159.2,teM,teM,wgd,Same,teM-teM,0.126388,0.377586,0.334727,1.11548e-05
MELO3C000134.2,MELO3C000620.2,teM,teM,wgd,Same,teM-teM,0.108603,0.837242,0.129715,1.51053e-23
MELO3C000141.2,MELO3C000336.2,teM,teM,wgd,Same,teM-teM,0.0195263,0.0390924,0.499492,0.296784
MELO3C000242.2,MELO3C027847.2,teM,teM,wgd,Same,teM-teM,0.00773273,0.0607796,0.127226,0.117125
MELO3C000409.2,MELO3C000816.2,teM,teM,wgd,Same,teM-teM,0.122332,0.604446,0.202386,5.31104e-14
MELO3C000457.2,MELO3C000787.2,teM,teM,wgd,Same,teM-teM,0.0226745,0.0520734,0.435433,0.0840252
MELO3C000488.2,MELO3C027856.2,teM,teM,wgd,Same,teM-teM,NA,NA,NA,NA
MELO3C000517.2,MELO3C027470.2,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.0254304,NA,NA,NA
MELO3C000551.2,MELO3C027867.2,teM,teM,wgd,Same,teM-teM,0.0288927,0.126994,0.227513,0.000626
MELO3C000620.2,MELO3C027920.2,teM,teM,wgd,Same,teM-teM,0.160636,1.81721,0.0883973,2.16221e-09
MELO3C000643.2,MELO3C001332.2,teM,teM,wgd,Same,teM-teM,0.0804614,0.211706,0.380062,0.00087252
MELO3C000695.2,MELO3C028070.2,teM,teM,wgd,Same,teM-teM,NA,NA,NA,NA
MELO3C000722.2,MELO3C000387.2,teM,teM,wgd,Same,teM-teM,0.0567556,0.12309,0.46109,0.0375705
MELO3C000722.2,MELO3C001332.2,teM,teM,wgd,Same,teM-teM,0.018754,0.0378903,0.494954,0.295638
MELO3C000732.2,MELO3C001330.2,unM,teM,wgd,Different,unM-teM,0.0446389,0.107817,0.414024,0.150076
MELO3C001002.2,MELO3C027895.2,teM,Unclassified,wgd,Undetermined,teM-Unclassified,0.584394,0.761679,0.767243,0.482482
MELO3C001332.2,MELO3C028122.2,teM,teM,wgd,Same,teM-teM,NA,NA,NA,NA
MELO3C001359.2,MELO3C028174.2,teM,teM,wgd,Same,teM-teM,0.0685041,0.0265535,2.57985,0.420559
MELO3C001880.2,MELO3C028160.2,teM,teM,wgd,Same,teM-teM,NA,NA,NA,NA
MELO3C001995.2,MELO3C017183.2,gbM,unM,wgd,Different,gbM-unM,0.160383,3.52829,0.0454562,1.62184e-36
MELO3C002002.2,MELO3C017195.2,unM,teM,wgd,Different,unM-teM,0.248478,2.0204,0.122984,1.1578e-111
MELO3C002003.2,MELO3C022013.2,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.382048,4.56999,0.0835993,5.86644e-77
MELO3C002014.2,MELO3C012141.2,gbM,unM,wgd,Different,gbM-unM,0.292129,3.90267,0.0748535,5.70146e-37
MELO3C002038.2,MELO3C017230.2,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.419595,2.1443,0.19568,2.73041e-12
MELO3C002039.2,MELO3C017231.2,gbM,unM,wgd,Different,gbM-unM,0.42771,1.58383,0.270048,2.54474e-59
MELO3C002039.2,MELO3C022036.2,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.698548,4.88471,0.143007,3.67825e-52
MELO3C002056.2,MELO3C017256.2,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.13395,1.66462,0.0804692,4.7052e-90
MELO3C002079.2,MELO3C017297.2,unM,teM,wgd,Different,unM-teM,0.363483,3.09801,0.117328,2.78862e-53
MELO3C002085.2,MELO3C012242.2,gbM,unM,wgd,Different,gbM-unM,0.74239,3.84033,0.193314,2.82313e-20
MELO3C002089.2,MELO3C017314.2,gbM,unM,wgd,Different,gbM-unM,0.391275,1.49358,0.261971,6.07862e-13
MELO3C002131.2,MELO3C017356.2,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.120528,4.22448,0.0285309,2.08864e-108
MELO3C002202.2,MELO3C017157.2,teM,Unclassified,wgd,Undetermined,teM-Unclassified,0.414469,4.36517,0.0949492,2.1243e-62
MELO3C002211.2,MELO3C017153.2,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.163528,2.52403,0.0647885,2.09882e-65
MELO3C002213.2,MELO3C017150.2,teM,Unclassified,wgd,Undetermined,teM-Unclassified,0.030046,1.42163,0.0211349,5.40966e-218
MELO3C002223.2,MELO3C012047.2,gbM,unM,wgd,Different,gbM-unM,0.204544,4.57167,0.0447416,1.23576e-121
MELO3C002247.2,MELO3C012013.2,gbM,unM,wgd,Different,gbM-unM,0.740319,0.766634,0.965674,0.881415
MELO3C002249.2,MELO3C012012.2,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.323401,3.98798,0.081094,2.34262e-63
MELO3C002288.2,MELO3C026272.2,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.28634,4.12167,0.0694719,2.18408e-69
MELO3C002469.2,MELO3C007381.2,gbM,unM,wgd,Different,gbM-unM,0.519913,1.73278,0.300046,3.44275e-06
MELO3C002546.2,MELO3C007338.2,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.338226,4.02811,0.0839664,7.52581e-64
MELO3C002551.2,MELO3C007330.2,unM,teM,wgd,Different,unM-teM,0.306797,3.96501,0.077376,5.14759e-43
MELO3C002590.2,MELO3C007296.2,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.289809,1.56868,0.184747,8.77668e-40
MELO3C002637.2,MELO3C007234.2,teM,Unclassified,wgd,Undetermined,teM-Unclassified,0.363054,3.97609,0.0913093,4.52514e-27
MELO3C002676.2,MELO3C007200.2,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.0725289,1.87118,0.0387611,1.72391e-50
MELO3C002676.2,MELO3C018716.2,gbM,teM,wgd,Different,gbM-teM,0.130516,1.78134,0.0732682,1.98155e-38
MELO3C002679.2,MELO3C007192.2,gbM,Unclassified,wgd,Undetermined,gbM-Unclassified,0.34785,1.89708,0.183361,1.11754e-33
MELO3C002689.2,MELO3C007182.2,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.188517,1.61292,0.116879,1.93012e-44
MELO3C002691.2,MELO3C007181.2,unM,teM,wgd,Different,unM-teM,0.196725,1.25505,0.156748,9.0724e-27
MELO3C002692.2,MELO3C007180.2,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.169809,4.06414,0.0417824,1.05755e-97
MELO3C002696.2,MELO3C007178.2,unM,Unclassified,wgd,Undetermined,unM-Unclassified,0.36924,3.38638,0.109037,1.35193e-16
MELO3C002702.2,MELO3C007171.2,gbM,unM,wgd,Different,gbM-unM,0.363799,2.47928,0.146736,2.65065e-17
