,Feature,Duplication,Classification,Duplicate.2,Ka,Ks,Ka.Ks,P.Value
1,MD00G1000700,wgd,Unclassified,MD06G1014200,0.0321474,0.1187,0.270828,6.01306e-05
2,MD00G1000800,wgd,Unclassified,MD06G1014300,0.00408841,0.13781,0.029667,5.91139e-09
3,MD00G1001000,wgd,Unclassified,MD02G1201000,0.784472,4.01833,0.195224,5.33446e-15
4,MD00G1001400,wgd,gbM,MD06G1014800,0.0285662,0.155136,0.184136,1.37336e-12
5,MD00G1001500,wgd,gbM,MD06G1015000,0.0244056,0.113115,0.215759,1.92938e-11
6,MD00G1001700,wgd,TE-like,MD06G1015200,0.162785,0.176032,0.924743,0.785367
7,MD00G1001800,wgd,Unclassified,MD06G1015300,0.0444174,0.147379,0.301382,1.67297e-05
8,MD00G1001900,wgd,Unmethylated,MD06G1015500,0.00368801,0.11136,0.0331177,3.53745e-05
9,MD00G1002000,wgd,Unclassified,MD06G1015600,0.0438103,0.141056,0.310587,1.37582e-07
10,MD00G1002100,wgd,Unclassified,MD06G1017000,0.0480795,0.247107,0.194569,0.000219004
11,MD00G1002200,wgd,Unclassified,MD06G1017100,0.0296293,0.19413,0.152626,8.26089e-05
12,MD00G1002600,wgd,Unmethylated,MD01G1191600,0.641138,1.67024,0.383859,1.00745e-07
13,MD00G1002700,wgd,Unclassified,MD01G1191900,0.0311085,0.15455,0.201285,1.45786e-08
14,MD00G1003400,wgd,Unclassified,MD01G1192000,0.0403352,0.201205,0.200468,2.85616e-29
15,MD00G1003500,wgd,Unclassified,MD02G1198300,0.539607,3.81954,0.141275,1.19126e-22
16,MD00G1003600,wgd,Unclassified,MD02G1198000,0.199624,4.03195,0.0495106,1.00645e-94
17,MD00G1003800,wgd,gbM,MD01G1192300,0.0231984,0.110248,0.21042,1.04865e-11
18,MD00G1004100,wgd,Unclassified,MD02G1197500,0.164163,1.87418,0.0875918,5.3136e-55
19,MD00G1004200,wgd,Unclassified,MD01G1193100,0.018878,0.114483,0.164898,1.62636e-06
20,MD00G1004300,wgd,Unclassified,MD01G1193200,0.0576645,0.113582,0.507693,0.000132974
21,MD00G1004400,wgd,Unclassified,MD01G1193300,0.183843,0.13301,1.38218,0.226664
22,MD00G1004500,wgd,Unmethylated,MD02G1197400,0.371793,3.18535,0.11672,2.07532e-20
23,MD00G1004800,wgd,Unclassified,MD01G1193400,0.0919218,0.609137,0.150905,0.000195944
24,MD00G1004900,wgd,Unclassified,MD01G1194100,0.0824119,0.191412,0.430546,0.000103718
25,MD00G1005000,wgd,Unclassified,MD01G1194200,0.067037,0.150048,0.446771,0.00484744
