Feature	Duplication
Pahal.1G000800	dispersed
Pahal.2G096700	dispersed
Pahal.3G409600	dispersed
Pahal.7G114800	dispersed
Pahal.9G013800	dispersed
Pahal.9G385400	dispersed
Pahal.1G000900	dispersed
Pahal.3G471600	dispersed
Pahal.4G206100	dispersed
Pahal.7G067900	dispersed
Pahal.1G001600	dispersed
Pahal.1G117800	dispersed
Pahal.2G219900	dispersed
Pahal.2G387600	dispersed
Pahal.2G447900	dispersed
Pahal.3G361300	dispersed
Pahal.4G005500	dispersed
Pahal.4G085400	dispersed
Pahal.4G106800	dispersed
Pahal.5G098600	dispersed
Pahal.6G120700	dispersed
Pahal.6G284000	dispersed
Pahal.7G116900	dispersed
Pahal.9G006300	dispersed
Pahal.1G002300	dispersed
Pahal.9G536400	dispersed
Pahal.1G002500	dispersed
Pahal.4G349800	dispersed
Pahal.5G382200	dispersed
Pahal.1G002600	dispersed
Pahal.4G351300	dispersed
Pahal.9G355500	dispersed
Pahal.1G002700	dispersed
Pahal.3G458500	dispersed
Pahal.1G003400	dispersed
Pahal.2G065400	dispersed
Pahal.9G186200	dispersed
Pahal.9G524800	dispersed
Pahal.1G004700	dispersed
Pahal.7G234500	dispersed
Pahal.1G004800	dispersed
Pahal.3G455800	dispersed
Pahal.1G005400	dispersed
Pahal.6G035200	dispersed
Pahal.1G005500	dispersed
Pahal.3G168000	dispersed
Pahal.1G005700	dispersed
Pahal.1G115200	dispersed
Pahal.2G421100	dispersed
Pahal.3G167900	dispersed
Pahal.9G344900	dispersed
Pahal.1G006000	dispersed
Pahal.1G457700	dispersed
Pahal.2G254600	dispersed
Pahal.9G172500	dispersed
Pahal.1G007400	dispersed
Pahal.9G607200	dispersed
Pahal.1G008500	dispersed
Pahal.1G110300	dispersed
Pahal.2G486500	dispersed
Pahal.4G078100	dispersed
Pahal.9G496200	dispersed
Pahal.1G009100	dispersed
Pahal.1G361200	dispersed
Pahal.1G369600	dispersed
Pahal.2G088800	dispersed
Pahal.2G119200	dispersed
Pahal.3G268100	dispersed
Pahal.5G212700	dispersed
Pahal.5G367400	dispersed
Pahal.5G425000	dispersed
Pahal.6G308800	dispersed
Pahal.8G096300	dispersed
Pahal.9G353500	dispersed
Pahal.1G009200	dispersed
Pahal.3G034700	dispersed
Pahal.4G312700	dispersed
Pahal.1G009500	dispersed
Pahal.2G387100	dispersed
Pahal.1G009700	dispersed
Pahal.2G387200	dispersed
Pahal.1G010000	dispersed
Pahal.2G371500	dispersed
Pahal.1G010100	dispersed
Pahal.1G021400	dispersed
Pahal.7G107100	dispersed
Pahal.1G011300	dispersed
Pahal.3G100200	dispersed
Pahal.1G012100	dispersed
Pahal.2G399500	dispersed
Pahal.3G255500	dispersed
Pahal.6G027500	dispersed
Pahal.1G012400	dispersed
