,Feature,Duplication,Classification,Duplicate.2,Ka,Ks,Ka.Ks,P.Value
1,LOC103926525,wgd,Unclassified,LOC103935684,0.270687,0.840291,0.322135,1.07206e-18
2,LOC103926535,wgd,Unclassified,LOC103930878,0.00955127,0.0214911,0.444429,0.150981
3,LOC103926537,wgd,Unclassified,LOC103934028,0.0251175,0.194392,0.129211,0.000198222
4,LOC103926541,wgd,Unclassified,LOC103933996,0.0634702,0.156976,0.404331,0.00328266
5,LOC103926581,wgd,NA,LOC103962740,NA,NA,NA,NA
6,LOC103926584,wgd,NA,LOC103962742,0.00242213,0.0213231,0.113592,0.00783779
7,LOC103926586,wgd,Unmethylated,LOC103962743,0.009256,0.0171844,0.538627,0.265947
8,LOC103926634,wgd,gbM,LOC103966637,0.0737355,0.204812,0.360015,2.05251e-24
9,LOC103926642,wgd,Unclassified,LOC103966647,0.105794,0.188585,0.560987,0.0951455
10,LOC103926643,wgd,gbM,LOC103966648,0.0291487,0.168945,0.172533,1.99996e-22
11,LOC103926646,wgd,Unclassified,LOC103966655,0.0386313,0.102477,0.376975,2.39184e-07
12,LOC103926648,wgd,gbM,LOC103966653,0.0248327,0.142279,0.174535,1.06845e-08
13,LOC103926651,wgd,Unmethylated,LOC103966651,0.037143,0.141943,0.261675,0.0548094
14,LOC103926652,wgd,Unclassified,LOC103966656,NA,0.184952,-6.00276e-15,NA
15,LOC103926653,wgd,gbM,LOC103934392,0.657779,2.28915,0.287346,6.57432e-34
16,LOC103926655,wgd,Unmethylated,LOC103934350,0.222019,2.27161,0.0977364,5.64326e-25
17,LOC103926656,wgd,Unclassified,LOC103966661,0.0293446,0.147159,0.199408,4.37862e-10
18,LOC103926661,wgd,Unclassified,LOC103966674,0.0978836,0.279592,0.350095,0.000219543
19,LOC103926663,wgd,Unclassified,LOC103966677,0.0486252,0.279376,0.174049,0.00498038
20,LOC103926678,wgd,NA,LOC103934782,NA,0.00207716,-5.34492e-13,NA
21,LOC103926680,wgd,Unclassified,LOC103934783,0.0126366,0.0126206,1.00127,0.683136
22,LOC103926681,wgd,Unclassified,LOC103934789,0.00115316,0.0113776,0.101353,0.00296997
23,LOC103926697,wgd,Unclassified,LOC103933537,0.0037375,0.0206506,0.180988,0.0216046
24,LOC103926699,wgd,gbM,LOC103933536,NA,0.0189071,0,NA
25,LOC103926701,wgd,Unclassified,LOC103932873,0.020094,0.156202,0.128641,7.58533e-06
26,LOC103926704,wgd,Unclassified,LOC103932874,0.0214294,0.200353,0.106958,7.83566e-24
27,LOC103926705,wgd,gbM,LOC103933528,0.00717668,NA,NA,NA
28,LOC103926706,wgd,gbM,LOC103932878,0.0324771,0.195592,0.166045,6.03648e-25
29,LOC103926709,wgd,Unmethylated,LOC103933519,0.0338003,0.0646796,0.52258,0.000966964
30,LOC103926721,wgd,Unclassified,LOC103932890,0.224144,0.597734,0.37499,1.37728e-14
31,LOC103926722,wgd,Unclassified,LOC103932881,0.453965,0.875153,0.518727,0.00289692
32,LOC103926732,wgd,gbM,LOC103950066,0.0361075,0.189602,0.190439,1.53708e-07
33,LOC103926746,wgd,Unclassified,LOC103950070,0.272228,0.482856,0.563788,6.59269e-05
34,LOC103926748,wgd,Unclassified,LOC103950081,0.043615,0.222995,0.195587,1.01378e-13
