,Feature,Duplication,Classification,Duplicate.2,Ka,Ks,Ka.Ks,P.Value
1,AT1G01030,wgd,Unclassified,AT2G46870,0.348342,2.55853,0.136149,1.52257e-29
2,AT1G01050,wgd,Unclassified,AT2G46860,0.0648976,2.92909,0.0221562,7.88868e-60
3,AT1G01060,wgd,Unclassified,AT2G46830,0.467553,4.4758,0.104462,1.40684e-48
4,AT1G01100,wgd,Unclassified,AT4G00810,0.0396447,1.34845,0.0294003,1.71865e-23
5,AT1G01110,wgd,Unclassified,AT4G00820,0.181985,1.02672,0.177248,2.24973e-38
6,AT1G01160,wgd,Unclassified,AT4G00850,0.166294,2.54333,0.0653841,3.10935e-24
7,AT1G01170,wgd,Unmethylated,AT4G00860,0.15703,0.977177,0.160698,3.30274e-08
8,AT1G01190,wgd,Unclassified,AT3G61880,0.242478,2.09934,0.115502,2.03228e-59
9,AT1G01225,wgd,Unmethylated,AT4G00905,0.146926,2.94918,0.0498192,2.13889e-37
10,AT1G01240,wgd,Unclassified,AT2G46550,0.46793,1.97476,0.236956,2.02108e-19
11,AT1G01260,wgd,Unclassified,AT2G46510,0.384266,4.39068,0.0875185,6.52683e-54
12,AT1G01300,wgd,Unclassified,AT3G61820,0.202004,4.40729,0.0458341,5.87608e-93
13,AT1G01340,wgd,Unclassified,AT4G01010,0.0927796,1.17673,0.0788453,2.75438e-97
14,AT1G01360,wgd,Unmethylated,AT4G01026,0.103322,1.29194,0.0799742,1.43722e-24
15,AT1G01380,wgd,Unmethylated,AT4G01060,0.143665,0.890495,0.161332,3.54925e-07
16,AT1G01390,wgd,Unclassified,AT4G01070,0.199038,0.974696,0.204205,1.07662e-33
17,AT1G01430,wgd,Unclassified,AT4G01080,0.209579,1.56002,0.134344,5.81281e-36
18,AT1G01440,wgd,gbM,AT4G01090,0.197029,1.5041,0.130995,8.1782e-52
19,AT1G01453,wgd,Unclassified,AT4G01110,0.230558,0.895416,0.257488,4.46364e-14
20,AT1G01460,wgd,Unclassified,AT4G01190,0.178785,1.04548,0.171006,1.64432e-34
21,AT1G01470,wgd,Unmethylated,AT2G46140,0.280317,1.59939,0.175265,8.15609e-16
22,AT1G01480,wgd,Unclassified,AT3G61510,0.223837,4.29525,0.0521126,1.04127e-95
23,AT1G01520,wgd,Unmethylated,AT4G01280,0.242701,2.41578,0.100465,1.21935e-24
24,AT1G01540,wgd,Unclassified,AT4G01330,0.0676386,1.47203,0.0459493,6.92885e-90
25,AT1G01550,wgd,Unclassified,AT2G46080,0.293517,2.8709,0.102238,1.11298e-46
26,AT1G01560,wgd,Unclassified,AT4G01370,0.0557452,0.830802,0.067098,1.23127e-48
27,AT1G01570,wgd,Unmethylated,AT4G00295,0.244752,1.96052,0.12484,2.81537e-42
28,AT1G01600,wgd,Unclassified,AT4G00360,0.0616825,1.21806,0.05064,4.04406e-82
29,AT1G01610,wgd,Unclassified,AT4G00400,0.0475317,2.18023,0.0218013,7.97307e-107
30,AT1G01620,wgd,Unmethylated,AT4G00430,0.0185884,0.78487,0.0236834,3.30787e-56
31,AT1G01695,wgd,Unclassified,AT4G00440,0.358108,0.826598,0.43323,7.91963e-09
32,AT1G01700,wgd,Unclassified,AT4G00460,0.0876395,0.970262,0.0903257,1.41985e-54
33,AT1G01710,wgd,Unclassified,AT4G00520,0.202352,0.779253,0.259675,2.14915e-21
34,AT1G01715,wgd,Unmethylated,AT4G00525,0.432719,0.704829,0.613934,0.110635
35,AT1G01725,wgd,Unmethylated,AT4G00530,0.176953,0.74358,0.237975,0.000194732
36,AT1G01780,wgd,Unclassified,AT3G61230,0.177842,3.5646,0.049891,3.53749e-57
