Gene	0bp	100bp	250bp	500bp	750bp	1000bp	1500bp	2000bp	3000bp	4000bp	5000bp	7500bp	10000bp	up_0bp	up_100bp	up_250bp	up_500bp	up_750bp	up_1000bp	up_1500bp	up_2000bp	up_3000bp	up_4000bp	up_5000bp	up_7500bp	up_10000bp	down_0bp	down_100bp	down_250bp	down_500bp	down_750bp	down_1000bp	down_1500bp	down_2000bp	down_3000bp	down_4000bp	down_5000bp	down_7500bp	down_10000bp
ID=AT2G40435.Araport11.447;Name=AT2G40435													1.0													1.0													
ID=AT2G43120.Araport11.447;Name=AT2G43120																																							
ID=AT2G31240.Araport11.447;Name=AT2G31240																																							
ID=AT2G25630.Araport11.447;Name=AT2G25630										1.0	1.0	1.0	1.0										1.0	1.0	1.0	1.0													
ID=AT2G35480.Araport11.447;Name=AT2G35480																																							
ID=AT2G29730.Araport11.447;Name=AT2G29730																																							
ID=AT2G17600.Araport11.447;Name=AT2G17600					1.0	1.0	2.0	3.0	3.0	4.0	4.0	5.0	5.0					1.0	1.0	2.0	3.0	3.0	3.0	3.0	4.0	4.0										1.0	1.0	1.0	1.0
ID=AT2G25530.Araport11.447;Name=AT2G25530											1.0	3.0	4.0											1.0	2.0	3.0												1.0	1.0
ID=AT2G27960.Araport11.447;Name=AT2G27960						1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0													1.0						1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT2G21390.Araport11.447;Name=AT2G21390											2.0	2.0	2.0																								2.0	2.0	2.0
ID=AT2G23210.Araport11.447;Name=AT2G23210								1.0	1.0	1.0	1.0	1.0	2.0								1.0	1.0	1.0	1.0	1.0	2.0													
ID=AT2G21930.Araport11.447;Name=AT2G21930							3.0	3.0	3.0	3.0	3.0	3.0	3.0							3.0	3.0	3.0	3.0	3.0	3.0	3.0													
ID=AT2G29300.Araport11.447;Name=AT2G29300													1.0													1.0													
ID=AT2G21640.Araport11.447;Name=AT2G21640												5.0	5.0																									5.0	5.0
ID=AT2G35740.Araport11.447;Name=AT2G35740																																							
ID=AT2G18870.Araport11.447;Name=AT2G18870					1.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	4.0					1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0											1.0	1.0	1.0
ID=AT2G37550.Araport11.447;Name=AT2G37550												2.0	2.0																									2.0	2.0
ID=AT2G31370.Araport11.447;Name=AT2G31370										2.0	3.0	3.0	3.0										2.0	3.0	3.0	3.0													
ID=AT2G15530.Araport11.447;Name=AT2G15530						1.0	1.0	2.0	2.0	2.0	2.0	4.0	4.0												2.0	2.0						1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0
ID=AT2G26900.Araport11.447;Name=AT2G26900																																							
ID=AT2G38310.Araport11.447;Name=AT2G38310																																							
ID=AT2G43600.Araport11.447;Name=AT2G43600									1.0	1.0	2.0	4.0	4.0											1.0	3.0	3.0									1.0	1.0	1.0	1.0	1.0
