Feature	Duplication
Glyma.01G000248	dispersed
Glyma.03G011400	dispersed
Glyma.10G000050	dispersed
Glyma.13G107000	dispersed
Glyma.15G277066	dispersed
Glyma.01G000322	dispersed
Glyma.15G277502	dispersed
Glyma.U045802	dispersed
Glyma.01G001000	dispersed
Glyma.08G359900	dispersed
Glyma.01G006900	dispersed
Glyma.11G111600	dispersed
Glyma.01G011600	dispersed
Glyma.01G012800	dispersed
Glyma.01G012700	dispersed
Glyma.09G149500	dispersed
Glyma.01G027700	dispersed
Glyma.08G136100	dispersed
Glyma.01G036050	dispersed
Glyma.01G038651	dispersed
Glyma.02G030400	dispersed
Glyma.01G041450	dispersed
Glyma.03G062600	dispersed
Glyma.01G042900	dispersed
Glyma.04G157100	dispersed
Glyma.01G047400	dispersed
Glyma.02G107600	dispersed
Glyma.01G049700	dispersed
Glyma.02G060666	dispersed
Glyma.02G132600	dispersed
Glyma.01G049800	dispersed
Glyma.02G060600	dispersed
Glyma.01G052300	dispersed
Glyma.02G110300	dispersed
Glyma.01G053000	dispersed
Glyma.04G189000	dispersed
Glyma.01G053900	dispersed
Glyma.11G165500	dispersed
Glyma.01G062500	dispersed
Glyma.04G114000	dispersed
Glyma.06G285600	dispersed
Glyma.07G140900	dispersed
Glyma.08G292200	dispersed
Glyma.09G103200	dispersed
Glyma.09G140900	dispersed
Glyma.12G112700	dispersed
Glyma.17G168800	dispersed
Glyma.19G095100	dispersed
Glyma.01G066200	dispersed
Glyma.19G262550	dispersed
Glyma.01G067400	dispersed
Glyma.01G087200	dispersed
Glyma.02G164000	dispersed
Glyma.05G086300	dispersed
Glyma.06G274600	dispersed
Glyma.09G079300	dispersed
Glyma.19G100400	dispersed
Glyma.20G037300	dispersed
Glyma.01G068100	dispersed
Glyma.02G124800	dispersed
Glyma.13G113700	dispersed
Glyma.01G070601	dispersed
Glyma.07G117100	dispersed
Glyma.01G071301	dispersed
Glyma.10G114250	dispersed
Glyma.01G072000	dispersed
Glyma.17G247500	dispersed
Glyma.01G073500	dispersed
Glyma.12G191600	dispersed
Glyma.01G077300	dispersed
Glyma.11G176309	dispersed
Glyma.01G080700	dispersed
Glyma.07G157200	dispersed
Glyma.01G081400	dispersed
Glyma.05G064250	dispersed
Glyma.12G163026	dispersed
Glyma.16G162900	dispersed
Glyma.18G096100	dispersed
Glyma.18G130200	dispersed
Glyma.19G110000	dispersed
Glyma.20G067800	dispersed
Glyma.01G083500	dispersed
Glyma.07G171500	dispersed
Glyma.01G083800	dispersed
Glyma.01G155700	dispersed
Glyma.02G054300	dispersed
Glyma.05G111600	dispersed
Glyma.07G229400	dispersed
Glyma.08G123900	dispersed
Glyma.09G205200	dispersed
Glyma.11G170400	dispersed
Glyma.17G248000	dispersed
Glyma.18G248500	dispersed
Glyma.19G084500	dispersed
Glyma.01G085302	dispersed
Glyma.19G030000	dispersed
Glyma.11G160700	dispersed
Glyma.01G089000	dispersed
Glyma.04G146600	dispersed
Glyma.01G090300	dispersed
Glyma.02G117800	dispersed
Glyma.11G157767	dispersed
Glyma.13G085600	dispersed
Glyma.14G169500	dispersed
Glyma.01G093000	dispersed
Glyma.09G075100	dispersed
Glyma.16G024800	dispersed
Glyma.01G093800	dispersed
Glyma.04G153400	dispersed
Glyma.01G094700	dispersed
Glyma.07G124150	dispersed
Glyma.01G095100	dispersed
Glyma.08G270701	dispersed
Glyma.01G095298	dispersed
Glyma.03G073700	dispersed
Glyma.06G236600	dispersed
Glyma.18G069600	dispersed
Glyma.01G095900	dispersed
Glyma.08G363500	dispersed
Glyma.01G095966	dispersed
Glyma.08G363550	dispersed
Glyma.01G096500	dispersed
Glyma.03G058700	dispersed
Glyma.08G300000	dispersed
Glyma.10G120800	dispersed
Glyma.20G109200	dispersed
Glyma.01G103400	dispersed
Glyma.14G140200	dispersed
Glyma.01G103900	dispersed
Glyma.04G122800	dispersed
Glyma.09G081200	dispersed
Glyma.01G105200	dispersed
Glyma.15G248401	dispersed
Glyma.01G107850	dispersed
Glyma.11G134000	dispersed
Glyma.01G114300	dispersed
Glyma.02G189000	dispersed
Glyma.01G121100	dispersed
Glyma.06G038100	dispersed
Glyma.12G026200	dispersed
Glyma.01G121900	dispersed
