Duplicate.1,Duplicate.1_Methylation,Duplicate.2,Duplicate.2_Methylation,Duplication,Similarity,Classification
Brara.A02065,unM,Brara.A02686,unM,wgd,Same,unM-unM
Brara.A02049,unM,Brara.A02700,unM,wgd,Same,unM-unM
Brara.A02045,unM,Brara.A02701,unM,wgd,Same,unM-unM
Brara.A02039,unM,Brara.A02707,unM,wgd,Same,unM-unM
Brara.A02034,unM,Brara.A02714,unM,wgd,Same,unM-unM
Brara.A02014,unM,Brara.A02740,unM,wgd,Same,unM-unM
Brara.A02012,unM,Brara.A02742,unM,wgd,Same,unM-unM
Brara.A02004,unM,Brara.A02749,unM,wgd,Same,unM-unM
Brara.A02002,unM,Brara.A02753,unM,wgd,Same,unM-unM
Brara.A01986,unM,Brara.A02765,unM,wgd,Same,unM-unM
Brara.A03511,unM,Brara.B00083,unM,wgd,Same,unM-unM
Brara.A03363,unM,Brara.B00225,unM,wgd,Same,unM-unM
Brara.A03946,unM,Brara.B00549,unM,wgd,Same,unM-unM
Brara.A03936,unM,Brara.B00574,unM,wgd,Same,unM-unM
Brara.A03931,Unclassified,Brara.B00584,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Brara.A03870,unM,Brara.B00652,unM,wgd,Same,unM-unM
Brara.A03844,unM,Brara.B00688,unM,wgd,Same,unM-unM
Brara.A03843,Unclassified,Brara.B00689,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Brara.A03841,unM,Brara.B00692,unM,wgd,Same,unM-unM
Brara.A03832,unM,Brara.B00705,unM,wgd,Same,unM-unM
Brara.A03820,unM,Brara.B00727,unM,wgd,Same,unM-unM
Brara.A03817,unM,Brara.B00732,unM,wgd,Same,unM-unM
Brara.A03816,unM,Brara.B00733,unM,wgd,Same,unM-unM
Brara.A03813,unM,Brara.B00736,unM,wgd,Same,unM-unM
Brara.A03789,unM,Brara.B00767,unM,wgd,Same,unM-unM
Brara.A01573,unM,Brara.B01198,unM,wgd,Same,unM-unM
Brara.A01575,unM,Brara.B01205,unM,wgd,Same,unM-unM
Brara.A01579,unM,Brara.B01212,unM,wgd,Same,unM-unM
Brara.A01608,unM,Brara.B01249,unM,wgd,Same,unM-unM
Brara.A01611,unM,Brara.B01251,unM,wgd,Same,unM-unM
Brara.A01621,unM,Brara.B01262,unM,wgd,Same,unM-unM
Brara.A01625,unM,Brara.B01269,unM,wgd,Same,unM-unM
Brara.A01647,unM,Brara.B01299,unM,wgd,Same,unM-unM
Brara.A01670,unM,Brara.B01343,unM,wgd,Same,unM-unM
Brara.A01680,Unclassified,Brara.B01355,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Brara.A01684,Unclassified,Brara.B01360,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Brara.A01694,unM,Brara.B01368,unM,wgd,Same,unM-unM
Brara.A01697,unM,Brara.B01376,unM,wgd,Same,unM-unM
Brara.A01698,unM,Brara.B01377,unM,wgd,Same,unM-unM
Brara.A01723,unM,Brara.B01404,unM,wgd,Same,unM-unM
Brara.A01753,unM,Brara.B01447,unM,wgd,Same,unM-unM
Brara.A01536,unM,Brara.B01508,unM,wgd,Same,unM-unM
Brara.A01408,unM,Brara.B02740,unM,wgd,Same,unM-unM
Brara.A01394,unM,Brara.B02743,unM,wgd,Same,unM-unM
Brara.A01391,unM,Brara.B02744,unM,wgd,Same,unM-unM
Brara.A01389,unM,Brara.B02745,unM,wgd,Same,unM-unM
Brara.A01386,unM,Brara.B02746,unM,wgd,Same,unM-unM
Brara.A01085,unM,Brara.B02805,unM,wgd,Same,unM-unM
Brara.A01061,unM,Brara.B02815,unM,wgd,Same,unM-unM
