Duplicate.1,Duplicate.1_Methylation,Duplicate.2,Duplicate.2_Methylation,Duplication,Similarity,Classification
p5.00_sc00028_p0028,unM,p5.00_sc00001_p0007,unM,wgd,Same,unM-unM
p5.00_sc00028_p0030,Unclassified,p5.00_sc00001_p0015,Unclassified,wgd,Undetermined,Unclassified-Unclassified
p5.00_sc00028_p0056,unM,p5.00_sc00001_p0047,unM,wgd,Same,unM-unM
p5.00_sc00028_p0066,unM,p5.00_sc00001_p0058,unM,wgd,Same,unM-unM
p5.00_sc00028_p0071,Unclassified,p5.00_sc00001_p0062,Unclassified,wgd,Undetermined,Unclassified-Unclassified
p5.00_sc00166_p0060,Unclassified,p5.00_sc00001_p0097,Unclassified,wgd,Undetermined,Unclassified-Unclassified
p5.00_sc00166_p0062,Unclassified,p5.00_sc00001_p0099,Unclassified,wgd,Undetermined,Unclassified-Unclassified
p5.00_sc00166_p0066,unM,p5.00_sc00001_p0101,unM,wgd,Same,unM-unM
p5.00_sc00059_p0034,unM,p5.00_sc00001_p0136,unM,wgd,Same,unM-unM
p5.00_sc00059_p0105,unM,p5.00_sc00001_p0190,unM,wgd,Same,unM-unM
p5.00_sc00059_p0107,unM,p5.00_sc00001_p0191,unM,wgd,Same,unM-unM
p5.00_sc00059_p0110,unM,p5.00_sc00001_p0192,unM,wgd,Same,unM-unM
p5.00_sc00065_p0069,unM,p5.00_sc00001_p0227,unM,wgd,Same,unM-unM
p5.00_sc00126_p0018,Unclassified,p5.00_sc00001_p0290,Unclassified,wgd,Undetermined,Unclassified-Unclassified
p5.00_sc00126_p0021,Unclassified,p5.00_sc00001_p0296,Unclassified,wgd,Undetermined,Unclassified-Unclassified
p5.00_sc00126_p0030,Unclassified,p5.00_sc00001_p0308,Unclassified,wgd,Undetermined,Unclassified-Unclassified
p5.00_sc00126_p0033,unM,p5.00_sc00001_p0310,unM,wgd,Same,unM-unM
p5.00_sc00126_p0041,unM,p5.00_sc00001_p0318,unM,wgd,Same,unM-unM
p5.00_sc00126_p0049,unM,p5.00_sc00001_p0327,unM,wgd,Same,unM-unM
p5.00_sc00126_p0060,unM,p5.00_sc00001_p0334,unM,wgd,Same,unM-unM
p5.00_sc00126_p0062,Unclassified,p5.00_sc00001_p0336,Unclassified,wgd,Undetermined,Unclassified-Unclassified
p5.00_sc00126_p0077,unM,p5.00_sc00001_p0341,unM,wgd,Same,unM-unM
p5.00_sc00126_p0080,unM,p5.00_sc00001_p0344,unM,wgd,Same,unM-unM
p5.00_sc00126_p0082,gbM,p5.00_sc00001_p0348,gbM,wgd,Same,gbM-gbM
p5.00_sc00059_p0144,unM,p5.00_sc00001_p0364,unM,wgd,Same,unM-unM
p5.00_sc00059_p0138,unM,p5.00_sc00001_p0369,unM,wgd,Same,unM-unM
p5.00_sc00059_p0121,unM,p5.00_sc00001_p0391,unM,wgd,Same,unM-unM
p5.00_sc00059_p0116,Unclassified,p5.00_sc00001_p0407,Unclassified,wgd,Undetermined,Unclassified-Unclassified
p5.00_sc00065_p0108,unM,p5.00_sc00001_p0422,unM,wgd,Same,unM-unM
p5.00_sc00065_p0112,unM,p5.00_sc00001_p0427,unM,wgd,Same,unM-unM
p5.00_sc00166_p0010,Unclassified,p5.00_sc00001_p0438,Unclassified,wgd,Undetermined,Unclassified-Unclassified
p5.00_sc00166_p0023,Unclassified,p5.00_sc00001_p0447,Unclassified,wgd,Undetermined,Unclassified-Unclassified
p5.00_sc00166_p0042,unM,p5.00_sc00001_p0463,unM,wgd,Same,unM-unM
p5.00_sc00166_p0043,unM,p5.00_sc00001_p0464,unM,wgd,Same,unM-unM
p5.00_sc00065_p0047,unM,p5.00_sc00001_p0512,unM,wgd,Same,unM-unM
p5.00_sc00065_p0037,unM,p5.00_sc00001_p0522,unM,wgd,Same,unM-unM
