Feature	Duplication
Seita.1G000600	dispersed
Seita.4G127500	dispersed
Seita.1G001100	dispersed
Seita.3G325000	dispersed
Seita.4G161300	dispersed
Seita.7G037100	dispersed
Seita.1G001200	dispersed
Seita.2G291000	dispersed
Seita.9G003000	dispersed
Seita.9G243000	dispersed
Seita.1G001400	dispersed
Seita.1G366700	dispersed
Seita.2G290700	dispersed
Seita.2G397600	dispersed
Seita.3G229200	dispersed
Seita.3G254200	dispersed
Seita.5G177300	dispersed
Seita.8G115900	dispersed
Seita.9G132000	dispersed
Seita.9G243300	dispersed
Seita.1G001500	dispersed
Seita.7G028700	dispersed
Seita.1G002300	dispersed
Seita.9G473900	dispersed
Seita.1G002500	dispersed
Seita.4G010900	dispersed
Seita.7G110500	dispersed
Seita.1G002600	dispersed
Seita.4G009500	dispersed
Seita.9G295300	dispersed
Seita.1G003100	dispersed
Seita.4G005200	dispersed
Seita.1G003200	dispersed
Seita.1G217200	dispersed
Seita.1G004600	dispersed
Seita.7G181300	dispersed
Seita.1G004800	dispersed
Seita.1G215700	dispersed
Seita.3G075900	dispersed
Seita.3G224300	dispersed
Seita.5G405500	dispersed
Seita.9G213100	dispersed
Seita.9G375400	dispersed
Seita.9G413600	dispersed
Seita.9G436400	dispersed
Seita.1G005300	dispersed
Seita.6G060500	dispersed
Seita.1G006600	dispersed
Seita.4G201300	dispersed
Seita.4G209400	dispersed
Seita.5G398400	dispersed
Seita.6G047200	dispersed
Seita.6G072800	dispersed
Seita.7G225000	dispersed
Seita.9G392400	dispersed
Seita.9G405800	dispersed
Seita.1G007000	dispersed
Seita.3G333600	dispersed
Seita.8G119600	dispersed
Seita.9G291100	dispersed
Seita.1G007300	dispersed
Seita.1G120500	dispersed
Seita.1G007600	dispersed
Seita.5G061700	dispersed
Seita.7G191400	dispersed
Seita.8G039600	dispersed
Seita.8G221500	dispersed
Seita.1G007700	dispersed
Seita.2G284700	dispersed
Seita.8G044000	dispersed
Seita.8G075100	dispersed
Seita.1G007800	dispersed
Seita.5G325800	dispersed
Seita.1G009700	dispersed
Seita.6G145900	dispersed
Seita.9G410600	dispersed
Seita.1G010700	dispersed
Seita.1G380800	dispersed
Seita.1G010900	dispersed
Seita.7G011000	dispersed
Seita.1G011000	dispersed
Seita.5G015600	dispersed
Seita.1G011700	dispersed
Seita.4G075100	dispersed
Seita.5G102600	dispersed
Seita.6G105400	dispersed
Seita.1G012100	dispersed
Seita.5G251400	dispersed
Seita.1G012700	dispersed
Seita.1G222100	dispersed
Seita.1G013400	dispersed
Seita.3G126800	dispersed
Seita.1G013900	dispersed
Seita.3G076200	dispersed
Seita.1G014600	dispersed
Seita.3G186100	dispersed
Seita.1G016800	dispersed
Seita.4G246600	dispersed
Seita.1G016900	dispersed
Seita.3G084100	dispersed
Seita.3G302000	dispersed
Seita.1G017600	dispersed
Seita.9G169100	dispersed
Seita.1G018500	dispersed
Seita.4G066900	dispersed
Seita.1G019200	dispersed
Seita.3G069800	dispersed
Seita.1G020400	dispersed
Seita.4G069500	dispersed
Seita.7G002700	dispersed
Seita.1G020800	dispersed
Seita.9G563100	dispersed
Seita.1G021200	dispersed
Seita.2G024700	dispersed
Seita.2G197600	dispersed
Seita.2G416300	dispersed
Seita.5G291300	dispersed
Seita.1G021400	dispersed
Seita.5G267200	dispersed
Seita.1G021700	dispersed
Seita.3G161100	dispersed
Seita.5G227700	dispersed
Seita.7G046500	dispersed
Seita.9G142400	dispersed
Seita.1G023800	dispersed
Seita.3G099700	dispersed
Seita.7G273300	dispersed
Seita.1G023900	dispersed
Seita.9G225400	dispersed
Seita.1G024500	dispersed
Seita.3G384400	dispersed
Seita.1G025200	dispersed
Seita.2G179000	dispersed
Seita.1G025300	dispersed
Seita.4G292500	dispersed
Seita.9G488600	dispersed
Seita.1G026000	dispersed
Seita.7G069000	dispersed
Seita.1G026200	dispersed
Seita.5G219100	dispersed
Seita.1G028000	dispersed
Seita.1G379100	dispersed
