Duplicate.1,Duplicate.1_Methylation,Duplicate.2,Duplicate.2_Methylation,Duplication,Similarity,Classification
Pahal.1G140300,teM,Pahal.1G188700,teM,wgd,Same,teM-teM
Pahal.1G131300,teM,Pahal.1G202800,teM,wgd,Same,teM-teM
Pahal.1G129100,teM,Pahal.1G212400,teM,wgd,Same,teM-teM
Pahal.1G186600,teM,Pahal.1G217400,teM,wgd,Same,teM-teM
Pahal.1G170400,teM,Pahal.1G230300,teM,wgd,Same,teM-teM
Pahal.1G232000,teM,Pahal.2G145100,teM,wgd,Same,teM-teM
Pahal.1G230000,teM,Pahal.2G148500,teM,wgd,Same,teM-teM
Pahal.1G224700,teM,Pahal.2G149400,teM,wgd,Same,teM-teM
Pahal.1G174200,teM,Pahal.2G159000,teM,wgd,Same,teM-teM
Pahal.2G136500,teM,Pahal.2G164400,teM,wgd,Same,teM-teM
Pahal.1G175000,unM,Pahal.2G166000,unM,wgd,Same,unM-unM
Pahal.1G191000,teM,Pahal.2G171300,teM,wgd,Same,teM-teM
Pahal.1G217500,teM,Pahal.2G171600,teM,wgd,Same,teM-teM
Pahal.1G159600,unM,Pahal.2G175700,unM,wgd,Same,unM-unM
Pahal.2G143300,teM,Pahal.2G177000,teM,wgd,Same,teM-teM
Pahal.1G200400,gbM,Pahal.2G178600,gbM,wgd,Same,gbM-gbM
Pahal.1G195300,teM,Pahal.2G181800,teM,wgd,Same,teM-teM
Pahal.1G184400,teM,Pahal.2G189100,teM,wgd,Same,teM-teM
Pahal.1G200400,gbM,Pahal.2G189400,gbM,wgd,Same,gbM-gbM
Pahal.2G164400,teM,Pahal.2G190900,teM,wgd,Same,teM-teM
Pahal.1G231400,teM,Pahal.2G191800,teM,wgd,Same,teM-teM
Pahal.1G232300,teM,Pahal.2G196000,teM,wgd,Same,teM-teM
Pahal.1G417300,unM,Pahal.2G284300,unM,wgd,Same,unM-unM
Pahal.1G415800,unM,Pahal.2G284800,unM,wgd,Same,unM-unM
Pahal.1G414600,unM,Pahal.2G285600,unM,wgd,Same,unM-unM
Pahal.1G412600,unM,Pahal.2G286200,unM,wgd,Same,unM-unM
Pahal.1G410900,unM,Pahal.2G287900,unM,wgd,Same,unM-unM
Pahal.1G410500,gbM,Pahal.2G288600,gbM,wgd,Same,gbM-gbM
Pahal.1G409600,unM,Pahal.2G289400,unM,wgd,Same,unM-unM
Pahal.1G408400,unM,Pahal.2G290300,unM,wgd,Same,unM-unM
Pahal.1G408100,unM,Pahal.2G290400,unM,wgd,Same,unM-unM
Pahal.1G408000,unM,Pahal.2G290900,unM,wgd,Same,unM-unM
Pahal.1G252200,unM,Pahal.3G026700,unM,wgd,Same,unM-unM
Pahal.1G258000,gbM,Pahal.3G032600,gbM,wgd,Same,gbM-gbM
Pahal.3G168600,unM,Pahal.3G177100,unM,wgd,Same,unM-unM
Pahal.3G168500,Unclassified,Pahal.3G177200,Unclassified,wgd,Undetermined,Unclassified-Unclassified
Pahal.3G168400,unM,Pahal.3G177400,unM,wgd,Same,unM-unM
Pahal.3G021300,gbM,Pahal.3G229600,gbM,wgd,Same,gbM-gbM
Pahal.3G010500,unM,Pahal.3G237300,unM,wgd,Same,unM-unM
