,Feature,Duplication,Classification,Duplicate.2,Ka,Ks,Ka.Ks,P.Value
1,Cla97C01G000220,wgd,Unclassified,Cla97C05G091490,0.19916,1.33742,0.148914,2.79865e-64
2,Cla97C01G000310,wgd,Unmethylated,Cla97C05G091430,0.439313,3.56498,0.12323,3.00609e-18
3,Cla97C01G000440,wgd,Unclassified,Cla97C05G091300,0.525334,2.35148,0.223406,5.74417e-12
4,Cla97C01G000450,wgd,Unmethylated,Cla97C05G091270,0.277481,2.46008,0.112793,4.51177e-34
5,Cla97C01G000460,wgd,Unclassified,Cla97C05G091260,0.264197,1.25322,0.210815,1.22623e-33
6,Cla97C01G000480,wgd,teM,Cla97C05G091180,0.228033,4.51773,0.0504752,5.48121e-107
7,Cla97C01G000500,wgd,gbM,Cla97C05G091170,0.239558,1.44762,0.165483,2.69927e-29
8,Cla97C01G000570,wgd,Unmethylated,Cla97C05G090960,0.101142,1.28826,0.078511,2.76231e-27
9,Cla97C01G000670,wgd,Unmethylated,Cla97C05G090810,0.456539,2.55349,0.17879,1.94893e-20
10,Cla97C01G000680,wgd,Unclassified,Cla97C05G090790,0.00297155,1.84095,0.00161414,7.11975e-44
11,Cla97C01G000710,wgd,Unclassified,Cla97C05G090780,0.297371,2.22317,0.13376,2.61912e-43
12,Cla97C01G000780,wgd,Unclassified,Cla97C05G090720,0.352109,3.91825,0.0898638,1.53525e-52
13,Cla97C01G000870,wgd,gbM,Cla97C05G090680,0.35674,3.72132,0.095864,8.77716e-28
14,Cla97C01G000920,wgd,Unmethylated,Cla97C05G090660,0.484366,2.16582,0.223641,7.03647e-18
15,Cla97C01G000990,wgd,gbM,Cla97C05G090510,0.403092,1.86251,0.216424,3.17626e-12
16,Cla97C01G001030,wgd,Unclassified,Cla97C05G090410,0.227411,1.77823,0.127886,8.54688e-59
17,Cla97C01G001970,wgd,gbM,Cla97C07G141980,0.132923,1.63221,0.0814376,1.55656e-107
18,Cla97C01G001990,wgd,Unclassified,Cla97C07G141920,0.338748,5.94093,0.0570194,1.09589e-34
19,Cla97C01G002050,wgd,Unmethylated,Cla97C07G141870,0.365463,3.60394,0.101407,6.42747e-20
20,Cla97C01G002060,wgd,Unclassified,Cla97C07G141860,0.188803,1.95319,0.0966635,3.83409e-52
21,Cla97C01G002110,wgd,Unmethylated,Cla97C07G141780,0.324917,2.12428,0.152954,5.48114e-06
22,Cla97C01G002130,wgd,Unmethylated,Cla97C07G141770,0.326717,2.14156,0.15256,3.09344e-32
23,Cla97C01G002210,wgd,Unmethylated,Cla97C06G112760,0.333188,4.22512,0.0788587,8.56713e-32
24,Cla97C01G002300,wgd,Unmethylated,Cla97C06G112770,0.570358,3.78253,0.150787,2.79229e-24
25,Cla97C01G002380,wgd,gbM,Cla97C06G112800,0.26683,1.71074,0.155973,2.82932e-15
26,Cla97C01G002470,wgd,gbM,Cla97C06G112840,0.0917421,4.10111,0.0223701,2.82955e-101
27,Cla97C01G002560,wgd,Unmethylated,Cla97C06G112880,0.360882,3.59165,0.100478,4.98149e-27
28,Cla97C01G002650,wgd,Unmethylated,Cla97C06G113080,0.188235,2.77255,0.0678925,1.48411e-99
29,Cla97C01G002670,wgd,gbM,Cla97C06G113100,0.17701,1.53347,0.115431,6.48894e-78
30,Cla97C01G002870,wgd,gbM,Cla97C06G113230,0.380152,2.59522,0.146481,3.64064e-34
31,Cla97C01G002960,wgd,Unclassified,Cla97C06G113250,0.36408,2.99751,0.121461,7.0484e-50
32,Cla97C01G003010,wgd,Unclassified,Cla97C05G090070,0.374571,1.85078,0.202385,5.09298e-12
33,Cla97C01G003060,wgd,gbM,Cla97C05G089970,0.694541,4.41508,0.157311,1.71473e-28
34,Cla97C01G003110,wgd,Unmethylated,Cla97C05G089920,0.480246,3.38845,0.14173,3.51501e-27
35,Cla97C01G003140,wgd,Unclassified,Cla97C10G188050,0.129923,2.02761,0.0640771,6.00842e-65
36,Cla97C01G003150,wgd,gbM,Cla97C05G089870,0.567525,3.14078,0.180695,5.91051e-23
37,Cla97C01G003190,wgd,Unmethylated,Cla97C05G089770,0.196064,2.0293,0.0966166,3.09683e-71
38,Cla97C01G003210,wgd,gbM,Cla97C05G089740,0.417427,1.79211,0.232925,7.26949e-15
39,Cla97C01G003220,wgd,Unmethylated,Cla97C05G089730,0.356399,3.66814,0.0971608,3.18508e-35
40,Cla97C01G003290,wgd,Unmethylated,Cla97C05G089670,0.280003,4.5186,0.0619667,2.45138e-89
41,Cla97C01G003350,wgd,Unmethylated,Cla97C05G089620,0.361317,3.51795,0.102707,3.41111e-36
42,Cla97C01G003390,wgd,teM,Cla97C10G187990,0.145709,1.3915,0.104714,1.11324e-35
43,Cla97C01G003400,wgd,Unclassified,Cla97C05G089540,0.588248,3.03926,0.19355,8.43825e-13
44,Cla97C01G003510,wgd,Unclassified,Cla97C10G187870,0.108719,2.14203,0.0507551,4.442e-76
45,Cla97C01G003560,wgd,Unclassified,Cla97C05G089410,0.285514,3.15497,0.0904964,2.74735e-69
46,Cla97C01G003580,wgd,Unmethylated,Cla97C05G089380,0.607951,3.38848,0.179417,3.31175e-34
47,Cla97C01G003630,wgd,Unclassified,Cla97C10G187800,0.135086,1.52673,0.0884808,4.74811e-77
48,Cla97C01G003640,wgd,Unclassified,Cla97C05G089330,0.452088,1.94595,0.232323,1.12489e-23
49,Cla97C01G003690,wgd,Unclassified,Cla97C10G187710,0.243066,1.75216,0.138724,1.3309e-83
50,Cla97C01G003710,wgd,Unmethylated,Cla97C10G187700,0.275641,1.79272,0.153756,1.10445e-48
51,Cla97C01G003740,wgd,Unmethylated,Cla97C10G187650,0.019872,1.94377,0.0102234,9.17666e-48
52,Cla97C01G003890,wgd,Unmethylated,Cla97C05G089170,0.403142,3.64015,0.110748,4.07459e-37
53,Cla97C01G003950,wgd,Unmethylated,Cla97C10G187530,0.199098,5.05543,0.0393829,4.13863e-31
54,Cla97C01G003960,wgd,gbM,Cla97C05G089130,0.199083,4.47948,0.0444433,1.83188e-104
55,Cla97C01G004020,wgd,Unclassified,Cla97C10G187450,0.0850204,1.26505,0.0672071,4.01426e-36
56,Cla97C01G004040,wgd,gbM,Cla97C10G187440,0.174813,2.88877,0.0605148,2.9548e-128
57,Cla97C01G004050,wgd,gbM,Cla97C10G187430,0.161526,1.51392,0.106694,2.62043e-73
58,Cla97C01G004070,wgd,Unmethylated,Cla97C10G187370,0.315973,1.55015,0.203833,6.65801e-12
59,Cla97C01G004250,wgd,Unmethylated,Cla97C10G187180,0.331163,3.88628,0.0852135,4.22553e-18
60,Cla97C01G004450,wgd,Unclassified,Cla97C10G187050,0.178863,1.45118,0.123254,2.91591e-29
61,Cla97C01G004570,wgd,Unmethylated,Cla97C10G187010,0.266111,1.60857,0.165434,4.65526e-29
62,Cla97C01G004850,wgd,Unmethylated,Cla97C07G143960,0.33037,4.06578,0.0812563,6.8708e-49
63,Cla97C01G004910,wgd,Unmethylated,Cla97C07G144030,0.438117,1.52314,0.28764,2.33119e-09
