,Feature,Duplication,Classification,Duplicate.2,Ka,Ks,Ka.Ks,P.Value
1,MELO3C001302.2,wgd,TE-like,MELO3C028150.2,NA,0.0323946,3.42718e-14,NA
2,MELO3C001303.2,wgd,TE-like,MELO3C001601.2,0.276471,0.314366,0.879457,0.855104
3,MELO3C001359.2,wgd,TE-like,MELO3C028174.2,0.0685041,0.0265535,2.57985,0.420559
4,MELO3C001601.2,wgd,NA,MELO3C001303.2,0.276471,0.314366,0.879457,0.855104
5,MELO3C001644.2,wgd,NA,MELO3C028043.2,0.252018,0.190545,1.32262,0.396506
6,MELO3C001844.2,wgd,Unclassified,MELO3C023383.2,0.232799,2.87846,0.0808763,1.03954e-15
7,MELO3C001968.2,wgd,Unmethylated,MELO3C021981.2,0.459663,2.87177,0.160063,0
8,MELO3C001971.2,wgd,Unmethylated,MELO3C012085.2,0.291972,3.49425,0.083558,1.24986e-26
9,MELO3C001972.2,wgd,Unmethylated,MELO3C012086.2,0.442764,3.99105,0.110939,2.20295e-27
10,MELO3C001973.2,wgd,Unclassified,MELO3C021984.2,0.233302,1.64819,0.14155,5.80352e-16
11,MELO3C001974.2,wgd,Unclassified,MELO3C012089.2,0.64538,4.16167,0.155077,1.90699e-23
12,MELO3C001978.2,wgd,Unmethylated,MELO3C012092.2,0.397185,1.69473,0.234365,1.46507e-09
13,MELO3C001981.2,wgd,Unclassified,MELO3C033612.2,0.33004,3.73352,0.088399,2.75212e-50
14,MELO3C001982.2,wgd,Unmethylated,MELO3C021987.2,0.215831,3.02847,0.0712675,1.04669e-16
15,MELO3C001983.2,wgd,Unclassified,MELO3C011456.2,0.55234,4.15386,0.13297,4.39686e-52
16,MELO3C001985.2,wgd,gbM,MELO3C012095.2,0.302315,3.69196,0.0818847,4.7807e-40
17,MELO3C001987.2,wgd,Unmethylated,MELO3C017178.2,0.325712,1.48015,0.220053,6.96787e-32
18,MELO3C001988.2,wgd,Unmethylated,MELO3C021998.2,0.698819,1.51222,0.462115,0.0001333
19,MELO3C001991.2,wgd,Unclassified,MELO3C012107.2,0.363593,2.42888,0.149696,2.72454e-32
20,MELO3C001992.2,wgd,Unmethylated,MELO3C017180.2,0.11505,1.79625,0.0640502,6.58886e-19
21,MELO3C001993.2,wgd,Unmethylated,MELO3C012108.2,0.227493,3.76256,0.0604623,9.89555e-40
22,MELO3C001995.2,wgd,gbM,MELO3C017183.2,0.160383,3.52829,0.0454562,1.62184e-36
23,MELO3C001996.2,wgd,Unclassified,MELO3C022002.2,0.411048,2.80001,0.146802,2.11586e-27
24,MELO3C001997.2,wgd,Unclassified,MELO3C012118.2,0.306559,4.45153,0.0688661,1.89757e-116
25,MELO3C002001.2,wgd,Unclassified,MELO3C017194.2,0.344461,2.16784,0.158896,1.55498e-30
26,MELO3C002002.2,wgd,Unclassified,MELO3C017195.2,0.248478,2.0204,0.122984,1.1578e-111
27,MELO3C002003.2,wgd,gbM,MELO3C022013.2,0.382048,4.56999,0.0835993,5.86644e-77
28,MELO3C002004.2,wgd,Unmethylated,MELO3C012133.2,0.237333,3.64461,0.0651189,1.02799e-29
29,MELO3C002006.2,wgd,gbM,MELO3C011433.2,0.854828,4.43362,0.192806,2.86549e-28
30,MELO3C002008.2,wgd,gbM,MELO3C022022.2,0.753786,4.38772,0.171794,7.53412e-31
31,MELO3C002010.2,wgd,gbM,MELO3C012138.2,0.408324,4.37131,0.09341,2.97022e-76
32,MELO3C002012.2,wgd,Unclassified,MELO3C017202.2,0.423436,2.10049,0.201589,5.63284e-24
33,MELO3C002013.2,wgd,Unmethylated,MELO3C017207.2,0.186292,2.17607,0.0856097,3.37914e-16
34,MELO3C002014.2,wgd,gbM,MELO3C017208.2,0.288175,3.91395,0.0736275,2.18054e-44
35,MELO3C002016.2,wgd,Unclassified,MELO3C012144.2,0.706569,3.54927,0.199075,9.73582e-18
36,MELO3C002018.2,wgd,gbM,MELO3C022032.2,0.668876,5.11456,0.130779,5.37551e-89
37,MELO3C002020.2,wgd,Unclassified,MELO3C017218.2,0.248022,4.73502,0.0523804,6.12729e-121
38,MELO3C002024.2,wgd,Unclassified,MELO3C011423.2,0.468592,2.52199,0.185803,1.13444e-17
39,MELO3C002028.2,wgd,Unclassified,MELO3C017225.2,0.506708,1.58255,0.320184,2.37731e-20
40,MELO3C002030.2,wgd,Unclassified,MELO3C017226.2,0.2042,1.90401,0.107247,2.09402e-24
41,MELO3C002034.2,wgd,Unclassified,MELO3C012155.2,0.60037,2.04806,0.293141,2.55592e-14
42,MELO3C002038.2,wgd,Unmethylated,MELO3C010371.2,0.516217,3.5579,0.14509,1.81982e-16
43,MELO3C002039.2,wgd,gbM,MELO3C017231.2,0.42771,1.58383,0.270048,2.54474e-59
44,MELO3C002040.2,wgd,gbM,MELO3C032452.2,0.581886,3.76236,0.15466,5.71521e-26
45,MELO3C002043.2,wgd,TE-like,MELO3C011413.2,0.224202,4.27906,0.0523952,6.75269e-79
46,MELO3C002046.2,wgd,gbM,MELO3C017243.2,0.270479,3.41898,0.0791111,8.93823e-56
47,MELO3C002047.2,wgd,Unclassified,MELO3C017244.2,0.0843197,1.30979,0.0643767,1.15043e-67
48,MELO3C002048.2,wgd,gbM,MELO3C017245.2,0.242834,1.84185,0.131843,6.22526e-40
49,MELO3C002049.2,wgd,Unclassified,MELO3C026300.2,0.293047,3.78853,0.077351,5.86731e-33
50,MELO3C002050.2,wgd,Unclassified,MELO3C026299.2,0.319226,2.38357,0.133928,2.96142e-26
51,MELO3C002051.2,wgd,gbM,MELO3C012161.2,0.5531,2.71176,0.203963,2.6448e-14
52,MELO3C002056.2,wgd,Unclassified,MELO3C017256.2,0.13395,1.66462,0.0804692,4.7052e-90
53,MELO3C002057.2,wgd,Unclassified,MELO3C011399.2,0.494499,4.04483,0.122254,1.65022e-33
54,MELO3C002061.2,wgd,gbM,MELO3C017263.2,0.107588,3.86068,0.0278676,7.96285e-76
55,MELO3C002062.2,wgd,Unclassified,MELO3C017269.2,0.252094,3.85858,0.0653334,3.39604e-43
56,MELO3C002065.2,wgd,gbM,MELO3C012196.2,0.226763,3.28568,0.0690155,4.59179e-96
57,MELO3C002066.2,wgd,Unclassified,MELO3C012203.2,0.330778,3.83467,0.0862597,1.53149e-36
58,MELO3C002076.2,wgd,Unmethylated,MELO3C017286.2,0.564709,3.81114,0.148173,1.41975e-23
59,MELO3C002078.2,wgd,Unclassified,MELO3C012223.2,0.17578,2.36187,0.0744242,4.32653e-24
60,MELO3C002079.2,wgd,Unclassified,MELO3C017297.2,0.363483,3.09801,0.117328,2.78862e-53
61,MELO3C002083.2,wgd,Unmethylated,MELO3C012239.2,0.42703,3.52239,0.121233,9.70937e-21
62,MELO3C002085.2,wgd,gbM,MELO3C012242.2,0.74239,3.84033,0.193314,2.82313e-20
63,MELO3C002088.2,wgd,gbM,MELO3C017311.2,0.191235,1.67178,0.11439,2.21235e-71
64,MELO3C002089.2,wgd,Unclassified,MELO3C017314.2,0.391275,1.49358,0.261971,6.07862e-13
65,MELO3C002090.2,wgd,Unclassified,MELO3C017315.2,0.32842,3.85093,0.0852832,1.32445e-32
66,MELO3C002091.2,wgd,Unclassified,MELO3C017316.2,0.0478312,1.63386,0.0292751,7.13691e-45
67,MELO3C002094.2,wgd,Unmethylated,MELO3C017318.2,0.44851,3.78476,0.118504,1.6885e-17
68,MELO3C002098.2,wgd,Unmethylated,MELO3C017321.2,0.290093,3.95184,0.0734069,2.45251e-56
69,MELO3C002104.2,wgd,Unclassified,MELO3C012270.2,0.289247,1.72613,0.16757,5.01234e-18
70,MELO3C002109.2,wgd,Unclassified,MELO3C017325.2,0.514788,3.43722,0.149769,1.33491e-18
71,MELO3C002114.2,wgd,gbM,MELO3C017333.2,0.330329,2.09048,0.158015,9.42417e-26
72,MELO3C002124.2,wgd,Unclassified,MELO3C017350.2,0.133189,2.40062,0.0554812,3.48783e-92
73,MELO3C002129.2,wgd,Unclassified,MELO3C017355.2,0.287616,3.54866,0.081049,2.13512e-23
74,MELO3C002131.2,wgd,Unclassified,MELO3C017356.2,0.120528,4.22448,0.0285309,2.08864e-108
75,MELO3C002132.2,wgd,Unmethylated,MELO3C017357.2,0.133985,4.46853,0.0299841,3.28873e-137
76,MELO3C002133.2,wgd,TE-like,MELO3C017358.2,0.137451,3.60932,0.0380824,1.27747e-49
77,MELO3C002197.2,wgd,Unmethylated,MELO3C012081.2,0.215173,3.08819,0.0696763,2.05338e-19
78,MELO3C002200.2,wgd,Unclassified,MELO3C017160.2,0.204145,1.56805,0.130191,1.34178e-101
79,MELO3C002202.2,wgd,TE-like,MELO3C017157.2,0.414469,4.36517,0.0949492,2.1243e-62
80,MELO3C002205.2,wgd,TE-like,MELO3C012072.2,0.164268,3.71325,0.0442384,1.69669e-79
81,MELO3C002209.2,wgd,Unclassified,MELO3C012064.2,0.517447,3.764,0.137473,8.11569e-21
82,MELO3C002211.2,wgd,Unclassified,MELO3C017153.2,0.163528,2.52403,0.0647885,2.09882e-65
83,MELO3C002212.2,wgd,Unclassified,MELO3C012055.2,0.564981,4.49009,0.125828,2.07829e-49
84,MELO3C002213.2,wgd,TE-like,MELO3C017150.2,0.030046,1.42163,0.0211349,5.40966e-218
85,MELO3C002214.2,wgd,Unmethylated,MELO3C012052.2,0.210914,3.90388,0.0540268,8.00825e-59
86,MELO3C002223.2,wgd,gbM,MELO3C012047.2,0.204544,4.57167,0.0447416,1.23576e-121
87,MELO3C002224.2,wgd,Unclassified,MELO3C017141.2,0.377452,3.8598,0.0977908,2.09969e-30
88,MELO3C002228.2,wgd,Unclassified,MELO3C012039.2,0.485462,1.84394,0.263275,1.32732e-16
89,MELO3C002236.2,wgd,Unclassified,MELO3C017127.2,0.338138,2.32604,0.145371,1.52371e-38
90,MELO3C002240.2,wgd,Unmethylated,MELO3C017121.2,0.344582,1.88617,0.182688,1.4308e-49
91,MELO3C002242.2,wgd,Unmethylated,MELO3C021513.2,0.305382,3.92783,0.0777483,0
92,MELO3C002243.2,wgd,Unmethylated,MELO3C009926.2,0.560991,3.38656,0.165652,6.91759e-11
93,MELO3C002244.2,wgd,Unmethylated,MELO3C012021.2,0.34879,3.60753,0.0966839,3.77025e-23
94,MELO3C002248.2,wgd,Unclassified,MELO3C017107.2,0.101276,2.99883,0.0337718,1.39891e-31
95,MELO3C002249.2,wgd,Unclassified,MELO3C021528.2,0.311344,4.04121,0.0770424,1.78446e-66
96,MELO3C002250.2,wgd,Unmethylated,MELO3C017105.2,0.425784,3.40311,0.125116,3.82523e-23
97,MELO3C002252.2,wgd,TE-like,MELO3C012007.2,0.310933,2.15707,0.144146,4.29623e-28
98,MELO3C002253.2,wgd,Unclassified,MELO3C012003.2,0.458822,1.9738,0.232456,4.38527e-46
99,MELO3C002256.2,wgd,Unclassified,MELO3C009951.2,0.330451,3.6552,0.0904058,5.3242e-24
100,MELO3C002259.2,wgd,gbM,MELO3C017097.2,0.337467,2.38294,0.141618,1.04692e-36
101,MELO3C002262.2,wgd,Unmethylated,MELO3C026293.2,0.558293,2.30894,0.241796,7.36446e-18
102,MELO3C002267.2,wgd,gbM,MELO3C011992.2,0.24629,4.01538,0.0613366,1.03386e-77
103,MELO3C002270.2,wgd,Unclassified,MELO3C021558.2,0.234317,2.11899,0.11058,5.89962e-48
104,MELO3C002272.2,wgd,gbM,MELO3C009974.2,0.391345,4.05352,0.0965444,3.24092e-39
105,MELO3C002276.2,wgd,Unclassified,MELO3C021562.2,0.311515,3.32323,0.0937386,5.69287e-26
106,MELO3C002281.2,wgd,gbM,MELO3C026284.2,0.547936,1.04894,0.52237,0.000637854
107,MELO3C002283.2,wgd,Unclassified,MELO3C011971.2,0.481314,1.59686,0.301412,2.27986e-11
108,MELO3C002285.2,wgd,Unclassified,MELO3C010683.2,0.249379,4.15865,0.0599664,1.20555e-79
109,MELO3C002286.2,wgd,Unclassified,MELO3C026278.2,0.272561,1.55314,0.175491,7.9213e-110
110,MELO3C002287.2,wgd,Unmethylated,MELO3C009979.2,0.248901,4.72595,0.052667,9.38818e-160
111,MELO3C002288.2,wgd,Unclassified,MELO3C026272.2,0.28634,4.12167,0.0694719,2.18408e-69
112,MELO3C002289.2,wgd,Unmethylated,MELO3C021576.2,0.466805,1.91038,0.244352,6.82854e-12
113,MELO3C002290.2,wgd,Unmethylated,MELO3C021578.2,0.243347,3.38565,0.0718759,1.61992e-42
114,MELO3C002292.2,wgd,Unclassified,MELO3C026265.2,0.0545522,3.05332,0.0178665,4.4349e-42
115,MELO3C002293.2,wgd,Unclassified,MELO3C010689.2,0.352278,4.53233,0.0777256,2.27504e-76
116,MELO3C002294.2,wgd,Unmethylated,MELO3C011956.2,0.0227388,1.42382,0.0159702,2.02073e-45
117,MELO3C002307.2,wgd,Unclassified,MELO3C010697.2,0.454186,2.46017,0.184615,7.17908e-17
118,MELO3C002315.2,wgd,Unmethylated,MELO3C026260.2,0.511494,1.64366,0.311191,4.22068e-24
119,MELO3C002319.2,wgd,Unclassified,MELO3C010706.2,0.143589,3.96952,0.036173,4.80826e-68
