Feature	Duplication
Migut.A00014	dispersed
Migut.J01231	dispersed
Migut.A00051	dispersed
Migut.K00475	dispersed
Migut.A00052	dispersed
Migut.A00304	dispersed
Migut.A00077	dispersed
Migut.B01489	dispersed
Migut.A00087	dispersed
Migut.G00329	dispersed
Migut.A00107	dispersed
Migut.L01062	dispersed
Migut.A00110	dispersed
Migut.J00024	dispersed
Migut.A00124	dispersed
Migut.A00239	dispersed
Migut.A00476	dispersed
Migut.A00526	dispersed
Migut.A00544	dispersed
Migut.O00625	dispersed
Migut.A00130	dispersed
Migut.B01810	dispersed
Migut.A00153	dispersed
Migut.J00091	dispersed
Migut.A00172	dispersed
Migut.F00529	dispersed
Migut.A00173	dispersed
Migut.A01107	dispersed
Migut.E00696	dispersed
Migut.F00836	dispersed
Migut.H02315	dispersed
Migut.K00494	dispersed
Migut.L01065	dispersed
Migut.N00397	dispersed
Migut.A00214	dispersed
Migut.I00549	dispersed
Migut.J00075	dispersed
Migut.J00785	dispersed
Migut.N02302	dispersed
Migut.A00216	dispersed
Migut.D01007	dispersed
Migut.A00222	dispersed
Migut.C00410	dispersed
Migut.A00235	dispersed
Migut.B01176	dispersed
Migut.A00241	dispersed
Migut.C00711	dispersed
Migut.A00243	dispersed
Migut.L00425	dispersed
Migut.A00246	dispersed
Migut.I00950	dispersed
Migut.A00254	dispersed
Migut.I00049	dispersed
Migut.A00261	dispersed
Migut.F00537	dispersed
Migut.H02127	dispersed
Migut.A00264	dispersed
Migut.D01041	dispersed
Migut.L00408	dispersed
Migut.A00275	dispersed
Migut.E00829	dispersed
Migut.A00283	dispersed
Migut.I00834	dispersed
Migut.A00301	dispersed
Migut.I00344	dispersed
Migut.A00303	dispersed
Migut.D00345	dispersed
Migut.A00306	dispersed
Migut.A00322	dispersed
Migut.A00316	dispersed
Migut.A00373	dispersed
Migut.D00598	dispersed
Migut.D01289	dispersed
Migut.D01550	dispersed
Migut.H01081	dispersed
Migut.H01136	dispersed
Migut.M01825	dispersed
Migut.A00355	dispersed
Migut.D01474	dispersed
Migut.A00356	dispersed
Migut.K00320	dispersed
Migut.A00363	dispersed
Migut.C00808	dispersed
Migut.D00117	dispersed
Migut.H02178	dispersed
Migut.A00385	dispersed
Migut.K00409	dispersed
Migut.A00386	dispersed
Migut.H02540	dispersed
Migut.A00394	dispersed
Migut.E01446	dispersed
Migut.A00404	dispersed
Migut.A01173	dispersed
Migut.A00422	dispersed
Migut.B01135	dispersed
Migut.D01189	dispersed
Migut.A00427	dispersed
Migut.D02479	dispersed
Migut.A00432	dispersed
Migut.F01437	dispersed
Migut.A00444	dispersed
Migut.I01198	dispersed
Migut.A00449	dispersed
Migut.J00840	dispersed
Migut.A00457	dispersed
Migut.B00778	dispersed
Migut.M01105	dispersed
Migut.A00465	dispersed
Migut.J00868	dispersed
Migut.L00091	dispersed
Migut.A00479	dispersed
Migut.A00543	dispersed
Migut.A00500	dispersed
Migut.C00673	dispersed
Migut.L01131	dispersed
Migut.A00525	dispersed
Migut.N01668	dispersed
Migut.A00541	dispersed
Migut.E01338	dispersed
Migut.A00547	dispersed
Migut.E01344	dispersed
Migut.A00553	dispersed
Migut.K00891	dispersed
Migut.K01235	dispersed
Migut.A00559	dispersed
Migut.B01412	dispersed
Migut.B01466	dispersed
Migut.A00605	dispersed
Migut.B00947	dispersed
Migut.B01450	dispersed
Migut.E01795	dispersed
Migut.F00089	dispersed
Migut.F00530	dispersed
Migut.F00870	dispersed
Migut.G00411	dispersed
Migut.I00204	dispersed
Migut.K00080	dispersed
Migut.K00122	dispersed
Migut.N00112	dispersed
Migut.A00610	dispersed
Migut.A01179	dispersed
Migut.A00612	dispersed
Migut.H01372	dispersed
Migut.A00629	dispersed
Migut.E00038	dispersed
Migut.A00632	dispersed
Migut.E01129	dispersed
Migut.A00698	dispersed
Migut.M00169	dispersed
Migut.A00720	dispersed
Migut.J01399	dispersed
Migut.A00737	dispersed
Migut.J00726	dispersed
Migut.A00752	dispersed
Migut.D01627	dispersed
Migut.A00761	dispersed
Migut.D01472	dispersed
Migut.D01580	dispersed
Migut.A00770	dispersed
Migut.E01104	dispersed
Migut.A00781	dispersed
Migut.C00068	dispersed
Migut.A00798	dispersed
Migut.J01798	dispersed
Migut.A00800	dispersed
Migut.L01945	dispersed
Migut.A00811	dispersed
Migut.O00698	dispersed
Migut.A00813	dispersed
Migut.E01806	dispersed
Migut.I00756	dispersed
Migut.N02773	dispersed
Migut.A00824	dispersed
Migut.A00868	dispersed
Migut.A00829	dispersed
Migut.O00615	dispersed
Migut.A00840	dispersed
Migut.E01134	dispersed
Migut.F00435	dispersed
Migut.A00849	dispersed
Migut.I00707	dispersed
Migut.A00856	dispersed
Migut.A00871	dispersed
Migut.A00861	dispersed
Migut.C01133	dispersed
Migut.A00876	dispersed
Migut.C00025	dispersed
Migut.A00880	dispersed
Migut.D00824	dispersed
Migut.A00894	dispersed
Migut.N01411	dispersed
Migut.A00895	dispersed
Migut.E01022	dispersed
Migut.E01271	dispersed
Migut.A00927	dispersed
Migut.D02149	dispersed
Migut.A00932	dispersed
Migut.O00926	dispersed
Migut.A00942	dispersed
Migut.A00986	dispersed
Migut.N00545	dispersed
Migut.N00546	dispersed
Migut.A00954	dispersed
Migut.H00756	dispersed
Migut.A00957	dispersed
Migut.B01588	dispersed
Migut.A00964	dispersed
Migut.F01181	dispersed
Migut.A00965	dispersed
Migut.D01648	dispersed
Migut.I00444	dispersed
Migut.A00983	dispersed
Migut.C00758	dispersed
Migut.A00985	dispersed
Migut.H01300	dispersed
Migut.L00018	dispersed
Migut.A00994	dispersed
Migut.F00528	dispersed
Migut.O00367	dispersed
Migut.A00996	dispersed
Migut.O00009	dispersed
Migut.A01000	dispersed
Migut.E01169	dispersed
Migut.A01001	dispersed
Migut.D01067	dispersed
Migut.E00305	dispersed
Migut.N00439	dispersed
Migut.A01002	dispersed
Migut.A01190	dispersed
Migut.A01009	dispersed
Migut.A01188	dispersed
Migut.A01014	dispersed
Migut.F00085	dispersed
Migut.A01018	dispersed
Migut.K01026	dispersed
Migut.A01021	dispersed
Migut.E00637	dispersed
Migut.E01301	dispersed
Migut.F00178	dispersed
Migut.L00696	dispersed
Migut.A01025	dispersed
Migut.A01036	dispersed
Migut.D00809	dispersed
Migut.F01129	dispersed
Migut.I00337	dispersed
Migut.N02330	dispersed
Migut.A01039	dispersed
Migut.A01126	dispersed
Migut.A01052	dispersed
Migut.F01248	dispersed
Migut.O00165	dispersed
Migut.A01057	dispersed
Migut.E00713	dispersed
Migut.A01059	dispersed
Migut.E00715	dispersed
Migut.A01061	dispersed
Migut.E00716	dispersed
Migut.O00934	dispersed
Migut.A01067	dispersed
Migut.F00154	dispersed
Migut.A01068	dispersed
Migut.E00957	dispersed
Migut.H01096	dispersed
Migut.K00646	dispersed
Migut.L00009	dispersed
Migut.A01069	dispersed
Migut.D01527	dispersed
Migut.A01071	dispersed
Migut.E00722	dispersed
Migut.F00991	dispersed
Migut.A01072	dispersed
Migut.E00299	dispersed
Migut.K00218	dispersed
Migut.A01074	dispersed
Migut.A01192	dispersed
Migut.A01209	dispersed
Migut.A01075	dispersed
Migut.N01515	dispersed
Migut.A01082	dispersed
Migut.E00779	dispersed
Migut.F00940	dispersed
Migut.A01086	dispersed
Migut.K00651	dispersed
Migut.A01091	dispersed
Migut.G01129	dispersed
Migut.A01093	dispersed
Migut.K01253	dispersed
Migut.L00676	dispersed
Migut.L01190	dispersed
Migut.A01108	dispersed
Migut.B01574	dispersed
Migut.A01120	dispersed
Migut.I00300	dispersed
Migut.I00355	dispersed
Migut.I00500	dispersed
Migut.I01010	dispersed
Migut.N02150	dispersed
Migut.A01130	dispersed
Migut.L01542	dispersed
Migut.A01145	dispersed
Migut.B01552	dispersed
Migut.J01847	dispersed
Migut.A01147	dispersed
Migut.D02168	dispersed
Migut.A01150	dispersed
Migut.B01550	dispersed
Migut.K00557	dispersed
Migut.A01157	dispersed
Migut.K00560	dispersed
Migut.A01163	dispersed
Migut.O00936	dispersed
Migut.A01165	dispersed
Migut.G01217	dispersed
Migut.G01251	dispersed
Migut.I00472	dispersed
Migut.A01169	dispersed
Migut.J00989	dispersed
Migut.A01170	dispersed
Migut.E00542	dispersed
Migut.E00752	dispersed
Migut.A01171	dispersed
Migut.D02189	dispersed
Migut.A01174	dispersed
Migut.E00744	dispersed
Migut.A01175	dispersed
Migut.F01464	dispersed
Migut.O00782	dispersed
Migut.A01177	dispersed
Migut.B01445	dispersed
Migut.E00737	dispersed
Migut.A01178	dispersed
Migut.A01184	dispersed
Migut.O00656	dispersed
Migut.A01186	dispersed
Migut.A01205	dispersed
Migut.L01173	dispersed
Migut.A01218	dispersed
Migut.A01229	dispersed
Migut.B00008	dispersed
Migut.C00760	dispersed
Migut.B00009	dispersed
Migut.B01076	dispersed
Migut.F01237	dispersed
Migut.F01423	dispersed
Migut.K00164	dispersed
Migut.B00012	dispersed
Migut.N02961	dispersed
Migut.B00038	dispersed
Migut.H01073	dispersed
Migut.B00068	dispersed
Migut.N03183	dispersed
Migut.B00069	dispersed
Migut.E00245	dispersed
Migut.B00082	dispersed
Migut.N01810	dispersed
Migut.B00109	dispersed
Migut.F00556	dispersed
Migut.J01187	dispersed
Migut.L01111	dispersed
Migut.N01592	dispersed
Migut.O00816	dispersed
Migut.B00129	dispersed
Migut.C00812	dispersed
Migut.B00145	dispersed
Migut.H02105	dispersed
Migut.B00156	dispersed
Migut.N01406	dispersed
Migut.B00195	dispersed
Migut.D02315	dispersed
Migut.E00549	dispersed
Migut.B00205	dispersed
Migut.B01495	dispersed
Migut.H00017	dispersed
Migut.B00215	dispersed
Migut.C00767	dispersed
Migut.H02516	dispersed
Migut.N00473	dispersed
Migut.B00231	dispersed
Migut.B00286	dispersed
Migut.N02939	dispersed
Migut.B00235	dispersed
Migut.E01287	dispersed
Migut.B00267	dispersed
Migut.F01573	dispersed
Migut.B00278	dispersed
Migut.E01112	dispersed
Migut.K01457	dispersed
Migut.B00294	dispersed
Migut.H02193	dispersed
Migut.B00342	dispersed
Migut.I01121	dispersed
Migut.B00363	dispersed
Migut.H00802	dispersed
Migut.B00366	dispersed
Migut.K00771	dispersed
Migut.K01219	dispersed
Migut.B00406	dispersed
Migut.H00177	dispersed
Migut.B00422	dispersed
Migut.J01576	dispersed
Migut.O00841	dispersed
Migut.B00426	dispersed
Migut.F01600	dispersed
Migut.B00427	dispersed
Migut.B00432	dispersed
Migut.B00445	dispersed
Migut.N03096	dispersed
Migut.B00449	dispersed
Migut.E01716	dispersed
Migut.L00174	dispersed
Migut.L00444	dispersed
Migut.L00785	dispersed
Migut.M00550	dispersed
Migut.B00459	dispersed
Migut.H00549	dispersed
Migut.B00476	dispersed
Migut.N02817	dispersed
Migut.B00481	dispersed
Migut.F01550	dispersed
Migut.B00498	dispersed
Migut.L00725	dispersed
Migut.O00613	dispersed
Migut.B00507	dispersed
Migut.J01243	dispersed
Migut.B00512	dispersed
Migut.N02831	dispersed
Migut.B00516	dispersed
Migut.C00297	dispersed
Migut.C00409	dispersed
Migut.C00468	dispersed
Migut.B00518	dispersed
Migut.H00295	dispersed
Migut.B00541	dispersed
Migut.D00715	dispersed
Migut.B00542	dispersed
Migut.H02279	dispersed
Migut.B00545	dispersed
