,Feature,Duplication,Classification,Duplicate.2,Ka,Ks,Ka.Ks,P.Value
1,Sobic.001G020700,wgd,Unclassified,Sobic.002G095200,0.390464,0.865501,0.451142,0.000132663
2,Sobic.001G021500,wgd,gbM,Sobic.002G094600,0.0644673,1.53033,0.0421264,2.66136e-182
3,Sobic.001G021800,wgd,Unclassified,Sobic.002G093900,0.36472,0.809549,0.450523,2.50299e-08
4,Sobic.001G021900,wgd,Unmethylated,Sobic.002G093300,0.194172,2.10856,0.0920878,3.53738e-51
5,Sobic.001G022100,wgd,Unclassified,Sobic.002G093000,0.19095,3.24818,0.0587867,3.59981e-23
6,Sobic.001G022200,wgd,Unmethylated,Sobic.002G092500,0.373524,2.98208,0.125256,0
7,Sobic.001G024400,wgd,Unclassified,Sobic.002G091200,0.509193,3.10944,0.163757,4.49057e-22
8,Sobic.001G025500,wgd,Unclassified,Sobic.002G090500,0.0853605,2.20109,0.0387809,1.29575e-60
9,Sobic.001G026800,wgd,gbM,Sobic.002G090400,0.127072,1.32956,0.0955748,1.45291e-54
10,Sobic.001G026900,wgd,gbM,Sobic.002G090200,0.0292672,1.02846,0.0284574,7.47522e-38
11,Sobic.001G028400,wgd,gbM,Sobic.002G088700,0.129821,0.769595,0.168688,4.42027e-29
12,Sobic.001G029600,wgd,Unmethylated,Sobic.002G088200,0.254923,1.54015,0.165519,2.32891e-11
13,Sobic.001G030300,wgd,Unclassified,Sobic.002G088100,0.082896,3.07723,0.0269385,2.55812e-18
14,Sobic.001G030500,wgd,Unclassified,Sobic.002G088000,0.362811,4.02205,0.0902054,1.57656e-61
15,Sobic.001G032800,wgd,gbM,Sobic.001G423100,0.288805,2.29667,0.125749,3.34211e-48
16,Sobic.001G033100,wgd,Unclassified,Sobic.009G010900,0.12891,3.89172,0.0331241,6.72439e-62
17,Sobic.001G033200,wgd,gbM,Sobic.009G011100,0.46018,4.39828,0.104627,1.45851e-75
18,Sobic.001G033400,wgd,gbM,Sobic.001G421300,0.226822,4.12347,0.0550075,1.35388e-84
19,Sobic.001G034100,wgd,gbM,Sobic.001G421000,0.372263,4.36986,0.0851889,1.29418e-99
20,Sobic.001G034300,wgd,Unmethylated,Sobic.009G014400,0.438928,2.25747,0.194434,9.80784e-20
21,Sobic.001G034400,wgd,Unclassified,Sobic.001G420100,0.158176,3.11286,0.0508139,2.50989e-24
22,Sobic.001G034700,wgd,Unclassified,Sobic.009G015700,0.231236,3.08985,0.0748375,0
23,Sobic.001G035100,wgd,Unmethylated,Sobic.001G416200,0.411717,3.11443,0.132197,3.83174e-20
24,Sobic.001G035300,wgd,Unmethylated,Sobic.009G016300,0.332323,3.10997,0.106857,3.10824e-21
25,Sobic.001G035400,wgd,gbM,Sobic.002G084300,0.0332261,2.47281,0.0134366,5.21295e-53
26,Sobic.001G035500,wgd,gbM,Sobic.009G018000,0.958492,4.36476,0.219598,1.90694e-15
27,Sobic.001G036800,wgd,Unclassified,Sobic.002G083600,0.220998,1.57697,0.140141,8.1657e-32
28,Sobic.001G037000,wgd,Unclassified,Sobic.002G083400,0.13802,1.73081,0.0797431,3.05213e-36
29,Sobic.001G038500,wgd,NA,Sobic.002G082900,0.227458,4.25092,0.0535081,2.34128e-80
30,Sobic.001G038900,wgd,Unmethylated,Sobic.002G082400,0.454844,3.50969,0.129596,1.37585e-34
31,Sobic.001G039800,wgd,Unmethylated,Sobic.002G081300,0.450349,4.29636,0.104821,9.86454e-21
32,Sobic.001G039900,wgd,gbM,Sobic.002G081100,0.0722184,0.806307,0.0895669,7.11546e-37
33,Sobic.001G040200,wgd,Unmethylated,Sobic.002G080100,0.178831,3.3008,0.0541781,1.96155e-52
34,Sobic.001G040400,wgd,Unmethylated,Sobic.002G079200,0.472926,3.4564,0.136826,3.68167e-18
35,Sobic.001G040800,wgd,gbM,Sobic.002G078400,0.00875752,1.59033,0.00550672,1.37026e-48
36,Sobic.001G042800,wgd,Unclassified,Sobic.002G077100,0.121194,1.04927,0.115503,4.75482e-21
37,Sobic.001G042901,wgd,Unmethylated,Sobic.002G076700,0.182979,3.76765,0.0485657,2.08535e-60
38,Sobic.001G044300,wgd,Unclassified,Sobic.002G076100,0.340159,1.19674,0.284238,1.32825e-13
39,Sobic.001G044500,wgd,gbM,Sobic.002G076000,0.116661,0.983907,0.118569,3.89129e-49
40,Sobic.001G044800,wgd,Unclassified,Sobic.002G075800,0.09396,2.05987,0.0456146,5.55739e-100
41,Sobic.001G045700,wgd,gbM,Sobic.002G075500,0.0492363,1.14837,0.0428751,3.82789e-181
42,Sobic.001G046100,wgd,Unclassified,Sobic.002G074200,0.0304492,1.66122,0.0183295,2.73798e-56
43,Sobic.001G046500,wgd,Unclassified,Sobic.002G073700,0.223274,2.51207,0.0888803,3.36071e-52
44,Sobic.001G047200,wgd,Unclassified,Sobic.002G072700,0.0721579,4.19807,0.0171883,7.00422e-90
45,Sobic.001G047800,wgd,Unmethylated,Sobic.002G072600,0.120693,1.38344,0.0872412,4.08196e-17
46,Sobic.001G048000,wgd,Unmethylated,Sobic.002G072100,0.44192,1.32274,0.334095,2.19467e-09
47,Sobic.001G049500,wgd,gbM,Sobic.002G071000,0.113614,0.850339,0.133611,5.28477e-64
48,Sobic.001G049700,wgd,Unmethylated,Sobic.002G070700,0.211443,1.07777,0.196186,5.89946e-08
49,Sobic.001G050200,wgd,gbM,Sobic.002G070300,0.093127,1.70551,0.0546035,1.12844e-83
50,Sobic.001G050300,wgd,Unclassified,Sobic.002G070200,0.331454,2.25009,0.147307,3.64323e-16
51,Sobic.001G050500,wgd,Unclassified,Sobic.002G068800,0.290474,2.72439,0.10662,2.73244e-78
52,Sobic.001G050900,wgd,Unclassified,Sobic.002G068600,0.316023,3.91477,0.0807259,1.80958e-58
53,Sobic.001G051200,wgd,Unclassified,Sobic.002G068300,0.0189758,1.63424,0.0116114,1.07967e-60
54,Sobic.001G051300,wgd,gbM,Sobic.002G068100,0.353732,1.38922,0.254626,2.6333e-13
55,Sobic.001G051600,wgd,Unmethylated,Sobic.002G067000,0.19512,3.56934,0.0546657,0
56,Sobic.001G052300,wgd,Unclassified,Sobic.002G066300,0.249336,3.73572,0.066744,3.14567e-47
57,Sobic.001G052800,wgd,gbM,Sobic.002G064900,0.438053,1.17669,0.372276,1.6452e-14
58,Sobic.001G052900,wgd,Unclassified,Sobic.002G057900,0.388006,2.96419,0.130898,2.08366e-24
59,Sobic.001G054700,wgd,gbM,Sobic.002G056900,0.304524,0.733716,0.415044,1.85298e-08
