,Feature,Duplication,Classification,Duplicate.2,Ka,Ks,Ka.Ks,P.Value
1,aradu.V14167.gnm1.ann1.Aradu.003TN,wgd,Unmethylated,aradu.V14167.gnm1.ann1.Aradu.0QQ3Z,0.154378,1.603,0.096306,7.7634e-32
2,aradu.V14167.gnm1.ann1.Aradu.00EZV,wgd,Unmethylated,aradu.V14167.gnm1.ann1.Aradu.X10AK,0.130014,1.48261,0.0876928,2.36937e-61
3,aradu.V14167.gnm1.ann1.Aradu.00JHT,wgd,Unmethylated,aradu.V14167.gnm1.ann1.Aradu.MNN2K,0.284566,1.73203,0.164297,2.9487e-17
4,aradu.V14167.gnm1.ann1.Aradu.00XL9,wgd,Unclassified,aradu.V14167.gnm1.ann1.Aradu.3UE4N,0.216007,1.38105,0.156408,1.09293e-23
5,aradu.V14167.gnm1.ann1.Aradu.00YI5,wgd,teM,aradu.V14167.gnm1.ann1.Aradu.Y23WY,0.0956781,0.64394,0.148582,7.88959e-07
6,aradu.V14167.gnm1.ann1.Aradu.00ZVX,wgd,Unclassified,aradu.V14167.gnm1.ann1.Aradu.5R0HC,0.15765,1.05344,0.149653,4.5289e-44
7,aradu.V14167.gnm1.ann1.Aradu.0168M,wgd,gbM,aradu.V14167.gnm1.ann1.Aradu.DZY4R,0.133878,2.9271,0.0457372,1.49266e-38
8,aradu.V14167.gnm1.ann1.Aradu.01A6C,wgd,teM,aradu.V14167.gnm1.ann1.Aradu.7J1PD,0.286059,0.451287,0.633874,0.0534739
9,aradu.V14167.gnm1.ann1.Aradu.01B4C,wgd,Unmethylated,aradu.V14167.gnm1.ann1.Aradu.FPU47,0.208389,1.99333,0.104543,1.5775e-25
10,aradu.V14167.gnm1.ann1.Aradu.01CF0,wgd,Unmethylated,aradu.V14167.gnm1.ann1.Aradu.4V3YY,0.336499,4.09665,0.0821402,1.23895e-44
11,aradu.V14167.gnm1.ann1.Aradu.01EU1,wgd,Unclassified,aradu.V14167.gnm1.ann1.Aradu.X280A,0.607147,2.0204,0.300508,2.4389e-07
12,aradu.V14167.gnm1.ann1.Aradu.01Q81,wgd,teM,aradu.V14167.gnm1.ann1.Aradu.J2X62,0.14536,0.95226,0.152648,4.41103e-10
13,aradu.V14167.gnm1.ann1.Aradu.01SQW,wgd,teM,aradu.V14167.gnm1.ann1.Aradu.D9QX6,0.19348,2.09137,0.0925137,2.50266e-31
14,aradu.V14167.gnm1.ann1.Aradu.01TNR,wgd,teM,aradu.V14167.gnm1.ann1.Aradu.CNU6V,0.516479,4.46473,0.11568,1.08411e-41
15,aradu.V14167.gnm1.ann1.Aradu.01XI9,wgd,teM,aradu.V14167.gnm1.ann1.Aradu.ZUE9T,0.22071,1.37367,0.160673,6.62529e-06
16,aradu.V14167.gnm1.ann1.Aradu.023N4,wgd,Unmethylated,aradu.V14167.gnm1.ann1.Aradu.1M0AQ,0.390917,2.75231,0.142033,5.29175e-22
17,aradu.V14167.gnm1.ann1.Aradu.0291B,wgd,gbM,aradu.V14167.gnm1.ann1.Aradu.D3YQ8,0.222952,0.990243,0.225149,7.4093e-50
18,aradu.V14167.gnm1.ann1.Aradu.02DA8,wgd,teM,aradu.V14167.gnm1.ann1.Aradu.X57SP,0.404619,1.36322,0.296812,6.76057e-11
19,aradu.V14167.gnm1.ann1.Aradu.02IKD,wgd,gbM,aradu.V14167.gnm1.ann1.Aradu.Q3X7M,0.0610337,0.759417,0.0803692,4.52333e-248
20,aradu.V14167.gnm1.ann1.Aradu.02IKS,wgd,Unmethylated,aradu.V14167.gnm1.ann1.Aradu.QI99C,0.327141,3.12922,0.104544,1.53265e-13
21,aradu.V14167.gnm1.ann1.Aradu.02NZN,wgd,Unmethylated,aradu.V14167.gnm1.ann1.Aradu.Q016U,0.208083,2.18503,0.0952313,1.33686e-30
