,Feature,Duplication,Classification,Duplicate.2,Ka,Ks,Ka.Ks,P.Value
1,evm_27.TU.AmTr_v1.0_scaffold00041.190,wgd,teM,evm_27.TU.AmTr_v1.0_scaffold00041.229,0.359022,0.378139,0.949442,0.873974
2,evm_27.TU.AmTr_v1.0_scaffold00041.199,wgd,NA,evm_27.TU.AmTr_v1.0_scaffold00041.234,0.0343064,0.0345356,0.993362,0.969402
3,evm_27.TU.AmTr_v1.0_scaffold00041.201,wgd,teM,evm_27.TU.AmTr_v1.0_scaffold00041.236,0.184422,0.175601,1.05023,0.661227
4,evm_27.TU.AmTr_v1.0_scaffold00041.203,wgd,NA,evm_27.TU.AmTr_v1.0_scaffold00041.237,0.116727,0.119672,0.975395,0.999792
5,evm_27.TU.AmTr_v1.0_scaffold00041.209,wgd,gbM,evm_27.TU.AmTr_v1.0_scaffold00041.239,0.358451,0.734568,0.487976,0.0546987
6,evm_27.TU.AmTr_v1.0_scaffold00041.214,wgd,NA,evm_27.TU.AmTr_v1.0_scaffold00041.245,0.224188,2.15611,0.103978,2.3119e-11
7,evm_27.TU.AmTr_v1.0_scaffold00041.215,wgd,NA,evm_27.TU.AmTr_v1.0_scaffold00041.246,0.14164,0.402008,0.352331,0.00743775
8,evm_27.TU.AmTr_v1.0_scaffold00041.229,wgd,NA,evm_27.TU.AmTr_v1.0_scaffold00041.190,0.359022,0.378139,0.949442,0.873974
9,evm_27.TU.AmTr_v1.0_scaffold00041.234,wgd,NA,evm_27.TU.AmTr_v1.0_scaffold00041.199,0.0343064,0.0345356,0.993362,0.969402
10,evm_27.TU.AmTr_v1.0_scaffold00041.236,wgd,NA,evm_27.TU.AmTr_v1.0_scaffold00041.201,0.184422,0.175601,1.05023,0.661227
11,evm_27.TU.AmTr_v1.0_scaffold00041.237,wgd,Unmethylated,evm_27.TU.AmTr_v1.0_scaffold00041.203,0.116727,0.119672,0.975395,0.999792
12,evm_27.TU.AmTr_v1.0_scaffold00041.239,wgd,gbM,evm_27.TU.AmTr_v1.0_scaffold00041.209,0.358451,0.734568,0.487976,0.0546987
13,evm_27.TU.AmTr_v1.0_scaffold00041.245,wgd,Unmethylated,evm_27.TU.AmTr_v1.0_scaffold00041.214,0.224188,2.15611,0.103978,2.3119e-11
14,evm_27.TU.AmTr_v1.0_scaffold00041.246,wgd,Unmethylated,evm_27.TU.AmTr_v1.0_scaffold00041.215,0.14164,0.402008,0.352331,0.00743775
15,evm_27.TU.AmTr_v1.0_scaffold00001.268,proximal,Unclassified,evm_27.TU.AmTr_v1.0_scaffold00001.262,0.469055,1.09012,0.430278,1.10143e-06
16,evm_27.TU.AmTr_v1.0_scaffold00001.269,proximal,Unclassified,evm_27.TU.AmTr_v1.0_scaffold00001.272,0.157119,1.32817,0.118297,6.445e-66
17,evm_27.TU.AmTr_v1.0_scaffold00001.272,proximal,Unclassified,evm_27.TU.AmTr_v1.0_scaffold00001.269,0.157119,1.32817,0.118297,6.445e-66
18,evm_27.TU.AmTr_v1.0_scaffold00001.277,proximal,Unmethylated,evm_27.TU.AmTr_v1.0_scaffold00001.284,0.359231,1.75855,0.204276,3.65055e-05
19,evm_27.TU.AmTr_v1.0_scaffold00001.282,proximal,Unmethylated,evm_27.TU.AmTr_v1.0_scaffold00001.285,0.0669863,0.319643,0.209566,2.76532e-13
20,evm_27.TU.AmTr_v1.0_scaffold00001.284,proximal,Unclassified,evm_27.TU.AmTr_v1.0_scaffold00001.277,0.359231,1.75855,0.204276,3.65055e-05
21,evm_27.TU.AmTr_v1.0_scaffold00001.285,proximal,Unclassified,evm_27.TU.AmTr_v1.0_scaffold00001.282,0.0669863,0.319643,0.209566,2.76532e-13
22,evm_27.TU.AmTr_v1.0_scaffold00001.287,proximal,gbM,evm_27.TU.AmTr_v1.0_scaffold00001.284,0.12414,0.483095,0.256968,8.82077e-07
23,evm_27.TU.AmTr_v1.0_scaffold00001.344,proximal,Unmethylated,evm_27.TU.AmTr_v1.0_scaffold00001.349,0.20479,0.372307,0.550057,0.054703
24,evm_27.TU.AmTr_v1.0_scaffold00001.347,proximal,Unmethylated,evm_27.TU.AmTr_v1.0_scaffold00001.350,0.0969412,0.127747,0.758854,0.307332
25,evm_27.TU.AmTr_v1.0_scaffold00001.349,proximal,Unmethylated,evm_27.TU.AmTr_v1.0_scaffold00001.344,0.20479,0.372307,0.550057,0.054703
26,evm_27.TU.AmTr_v1.0_scaffold00001.350,proximal,Unclassified,evm_27.TU.AmTr_v1.0_scaffold00001.347,0.0969412,0.127747,0.758854,0.307332
27,evm_27.TU.AmTr_v1.0_scaffold00001.373,proximal,NA,evm_27.TU.AmTr_v1.0_scaffold00001.379,0.0685462,0.204783,0.334727,9.71828e-05
28,evm_27.TU.AmTr_v1.0_scaffold00001.379,proximal,gbM,evm_27.TU.AmTr_v1.0_scaffold00001.373,0.0685462,0.204783,0.334727,9.71828e-05
29,evm_27.TU.AmTr_v1.0_scaffold00001.428,proximal,Unclassified,evm_27.TU.AmTr_v1.0_scaffold00001.430,0.439876,1.06917,0.411416,0.0277498
30,evm_27.TU.AmTr_v1.0_scaffold00001.443,proximal,NA,evm_27.TU.AmTr_v1.0_scaffold00001.441,0.169346,0.487846,0.34713,1.00613e-06
31,evm_27.TU.AmTr_v1.0_scaffold00001.47,proximal,Unclassified,evm_27.TU.AmTr_v1.0_scaffold00001.49,0.191973,0.964409,0.199058,9.60753e-09
32,evm_27.TU.AmTr_v1.0_scaffold00001.471,proximal,Unmethylated,evm_27.TU.AmTr_v1.0_scaffold00001.475,0.152165,0.236076,0.644556,0.0286329
33,evm_27.TU.AmTr_v1.0_scaffold00001.48,proximal,Unmethylated,evm_27.TU.AmTr_v1.0_scaffold00001.52,0.31987,0.642559,0.497806,0.0443907
34,evm_27.TU.AmTr_v1.0_scaffold00001.505,proximal,Unmethylated,evm_27.TU.AmTr_v1.0_scaffold00001.507,0.0957484,0.533225,0.179565,5.05267e-08
