Duplicate.1,Duplicate.1_Methylation,Duplicate.2,Duplicate.2_Methylation,Duplication,Similarity,Classification
evm.TU.supercontig_1.330,unM,evm.TU.supercontig_114.1,unM,wgd,Same,unM-unM
evm.TU.supercontig_1.312,unM,evm.TU.supercontig_114.13,unM,wgd,Same,unM-unM
evm.TU.supercontig_1.311,gbM,evm.TU.supercontig_114.14,gbM,wgd,Same,gbM-gbM
evm.TU.supercontig_1.305,unM,evm.TU.supercontig_114.19,unM,wgd,Same,unM-unM
evm.TU.supercontig_1.295,Unclassified,evm.TU.supercontig_114.36,Unclassified,wgd,Undetermined,Unclassified-Unclassified
evm.TU.supercontig_1.293,gbM,evm.TU.supercontig_114.59,gbM,wgd,Same,gbM-gbM
evm.TU.supercontig_10.124,Unclassified,evm.TU.supercontig_127.1,Unclassified,wgd,Undetermined,Unclassified-Unclassified
evm.TU.supercontig_10.87,gbM,evm.TU.supercontig_127.21,gbM,wgd,Same,gbM-gbM
evm.TU.supercontig_10.75,unM,evm.TU.supercontig_127.25,unM,wgd,Same,unM-unM
evm.TU.supercontig_10.113,unM,evm.TU.supercontig_127.4,unM,wgd,Same,unM-unM
evm.TU.supercontig_10.105,unM,evm.TU.supercontig_127.8,unM,wgd,Same,unM-unM
evm.TU.supercontig_1.65,gbM,evm.TU.supercontig_14.120,gbM,wgd,Same,gbM-gbM
evm.TU.supercontig_1.75,gbM,evm.TU.supercontig_14.132,gbM,wgd,Same,gbM-gbM
evm.TU.supercontig_1.98,gbM,evm.TU.supercontig_14.143,gbM,wgd,Same,gbM-gbM
evm.TU.supercontig_1.105,unM,evm.TU.supercontig_14.159,unM,wgd,Same,unM-unM
evm.TU.supercontig_1.106,gbM,evm.TU.supercontig_14.160,gbM,wgd,Same,gbM-gbM
evm.TU.supercontig_1.120,gbM,evm.TU.supercontig_14.170,gbM,wgd,Same,gbM-gbM
evm.TU.supercontig_1.155,unM,evm.TU.supercontig_14.209,unM,wgd,Same,unM-unM
evm.TU.supercontig_1.172,gbM,evm.TU.supercontig_14.244,gbM,wgd,Same,gbM-gbM
evm.TU.supercontig_1.46,unM,evm.TU.supercontig_14.96,unM,wgd,Same,unM-unM
evm.TU.supercontig_12.299,unM,evm.TU.supercontig_152.16,unM,wgd,Same,unM-unM
evm.TU.supercontig_12.297,unM,evm.TU.supercontig_152.18,unM,wgd,Same,unM-unM
evm.TU.supercontig_12.293,gbM,evm.TU.supercontig_152.20,gbM,wgd,Same,gbM-gbM
evm.TU.supercontig_12.271,unM,evm.TU.supercontig_152.40,unM,wgd,Same,unM-unM
evm.TU.supercontig_12.270,Unclassified,evm.TU.supercontig_152.43,Unclassified,wgd,Undetermined,Unclassified-Unclassified
evm.TU.supercontig_107.49,unM,evm.TU.supercontig_18.233,unM,wgd,Same,unM-unM
evm.TU.supercontig_107.70,gbM,evm.TU.supercontig_18.251,gbM,wgd,Same,gbM-gbM
evm.TU.supercontig_112.7,Unclassified,evm.TU.supercontig_19.167,Unclassified,wgd,Undetermined,Unclassified-Unclassified
evm.TU.supercontig_112.36,gbM,evm.TU.supercontig_19.192,gbM,wgd,Same,gbM-gbM
evm.TU.supercontig_112.38,unM,evm.TU.supercontig_19.194,unM,wgd,Same,unM-unM
evm.TU.supercontig_112.40,gbM,evm.TU.supercontig_19.195,gbM,wgd,Same,gbM-gbM
evm.TU.supercontig_1.382,unM,evm.TU.supercontig_190.11,unM,wgd,Same,unM-unM
evm.TU.supercontig_1.381,gbM,evm.TU.supercontig_190.12,gbM,wgd,Same,gbM-gbM
